Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	44.33	37.0	39.0	36.33	39.33	35.33
submodality	audio.mastermix.wav	100	33.0	36.0	33.0	35.0	33.0	33.0
submodality	symbolic.abc.txt	100	59.0	51.0	54.0	43.0	52.0	44.0
submodality	visual.short.png	100	41.0	24.0	30.0	31.0	33.0	29.0
piece_id	Anonymous_AusMeinesHerzensGrunde	33	24.24	27.27	18.18	27.27	30.3	24.24
piece_id	Bach_IchStehAnDeinerKrippe	45	37.78	40.0	37.78	31.11	46.67	35.56
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	41.67	25.0	16.67	41.67	33.33	8.33
piece_id	Drese_JesuGehVoran	30	56.67	46.67	36.67	40.0	43.33	36.67
piece_id	Gesius_BefiehlDuDeineWege	24	37.5	29.17	45.83	33.33	33.33	37.5
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	27	44.44	29.63	44.44	44.44	48.15	33.33
piece_id	Jan_DuGrosserSchmerzensmann	51	47.06	37.25	31.37	33.33	33.33	23.53
piece_id	Telemann_DerLiebenSonneLichtUndPracht	33	33.33	39.39	39.39	33.33	42.42	39.39
piece_id	Vulpius_ChristusDerIstMeinLeben	18	61.11	55.56	72.22	33.33	55.56	66.67
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27	70.37	37.04	59.26	55.56	29.63	55.56
is_nota_correct	0	240	42.92	36.67	38.75	37.5	43.75	37.5
is_nota_correct	1	60	50.0	38.33	40.0	31.67	21.67	26.67
meta-question_id	1	30	33.33	26.67	16.67	23.33	30.0	40.0
meta-question_id	10	21	14.29	23.81	28.57	23.81	14.29	33.33
meta-question_id	11	18	16.67	22.22	27.78	27.78	33.33	11.11
meta-question_id	2	30	60.0	46.67	53.33	46.67	56.67	50.0
meta-question_id	3	30	46.67	26.67	26.67	23.33	33.33	20.0
meta-question_id	4	30	40.0	50.0	43.33	36.67	33.33	46.67
meta-question_id	5	30	53.33	46.67	50.0	43.33	53.33	36.67
meta-question_id	6	30	86.67	66.67	73.33	76.67	43.33	56.67
meta-question_id	7	30	46.67	46.67	46.67	43.33	43.33	43.33
meta-question_id	8	30	20.0	6.67	16.67	13.33	36.67	3.33
meta-question_id	9	21	52.38	33.33	38.1	33.33	47.62	38.1
category	harmony	60	28.33	26.67	31.67	28.33	31.67	28.33
category	pitch	120	45.0	37.5	35.0	32.5	38.33	39.17
category	rhythm	120	51.67	41.67	46.67	44.17	44.17	35.0
subcategory	harmonic-recognition	60	28.33	26.67	31.67	28.33	31.67	28.33
subcategory	interval-recognition	60	43.33	38.33	35.0	30.0	33.33	33.33
subcategory	pitch-recognition	60	46.67	36.67	35.0	35.0	43.33	45.0
subcategory	proportion-recognition	60	33.33	26.67	31.67	28.33	40.0	23.33
subcategory	rhythmic-recognition	60	70.0	56.67	61.67	60.0	48.33	46.67
skill	cadence recognition	18	16.67	22.22	27.78	27.78	33.33	11.11
skill	chord recognition	21	14.29	23.81	28.57	23.81	14.29	33.33
skill	interval recognition	30	46.67	26.67	26.67	23.33	33.33	20.0
skill	interval statistics	30	40.0	50.0	43.33	36.67	33.33	46.67
skill	note length	30	53.33	46.67	50.0	43.33	53.33	36.67
skill	note length statistics	30	86.67	66.67	73.33	76.67	43.33	56.67
skill	pitch recognition	30	33.33	26.67	16.67	23.33	30.0	40.0
skill	pitch statistics	30	60.0	46.67	53.33	46.67	56.67	50.0
skill	rhythm pattern	30	46.67	46.67	46.67	43.33	43.33	43.33
skill	rhythm pattern statistics	30	20.0	6.67	16.67	13.33	36.67	3.33
skill	tonality recognition	21	52.38	33.33	38.1	33.33	47.62	38.1
rel/abs	absolute	141	51.77	43.26	45.39	43.97	41.13	43.97
rel/abs	relative	159	37.74	31.45	33.33	29.56	37.74	27.67
specification	harmony-absolute	21	14.29	23.81	28.57	23.81	14.29	33.33
specification	harmony-relative	39	35.9	28.21	33.33	30.77	41.03	25.64
specification	pitch-absolute	60	46.67	36.67	35.0	35.0	43.33	45.0
specification	pitch-relative	60	43.33	38.33	35.0	30.0	33.33	33.33
specification	rhythm-absolute	60	70.0	56.67	61.67	60.0	48.33	46.67
specification	rhythm-relative	60	33.33	26.67	31.67	28.33	40.0	23.33
