Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	15	13.33	0.0	0.0	46.33	0.008621	13.33	0.0	0.0	138.96	0.0	6.67	0.0	0.0	50.64	0.001928
submodality	audio.mastermix.wav	5	20.0	0.0	0.0	17.46	0.002033	20.0	0.0	0.0	20.84	0.0	0.0	0.0	0.0	13.92	0.000483
submodality	symbolic.abc.txt	5	0.0	0.0	0.0	14.36	0.003149	0.0	0.0	0.0	45.59	0.0	0.0	0.0	0.0	20.2	0.000806
submodality	visual.short.png	5	20.0	0.0	0.0	14.51	0.003439	20.0	0.0	0.0	72.53	0.0	20.0	0.0	0.0	16.51	0.000639
piece_id	Jan_DuGrosserSchmerzensmann	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	0.0	0.0	0.0	10.42	0.002548	33.33	0.0	0.0	26.86	0.0	0.0	0.0	0.0	12.55	0.00047
piece_id	Vulpius_ChristusDerIstMeinLeben	6	16.67	0.0	0.0	21.26	0.002942	0.0	0.0	0.0	65.31	0.0	0.0	0.0	0.0	14.94	0.000559
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	0.0	0.0	0.0	8.08	0.001781	33.33	0.0	0.0	32.5	0.0	0.0	0.0	0.0	10.33	0.000413
is_nota_correct	0	12	16.67	0.0	0.0	36.83	0.006776	8.33	0.0	0.0	98.36	0.0	8.33	0.0	0.0	42.37	0.001646
is_nota_correct	1	3	0.0	0.0	0.0	9.5	0.001845	33.33	0.0	0.0	40.6	0.0	0.0	0.0	0.0	8.28	0.000282
meta-question_id	1	3	33.33	0.0	0.0	5.94	0.001078	0.0	0.0	0.0	30.66	0.0	0.0	0.0	0.0	4.84	0.000154
meta-question_id	3	3	0.0	0.0	0.0	10.42	0.002548	33.33	0.0	0.0	26.86	0.0	0.0	0.0	0.0	12.55	0.00047
meta-question_id	5	3	0.0	0.0	0.0	15.32	0.001864	0.0	0.0	0.0	34.65	0.0	0.0	0.0	0.0	10.1	0.000404
meta-question_id	7	3	0.0	0.0	0.0	8.08	0.001781	33.33	0.0	0.0	32.5	0.0	0.0	0.0	0.0	10.33	0.000413
meta-question_id	9	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
category	harmony	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
category	pitch	6	16.67	0.0	0.0	16.36	0.003626	16.67	0.0	0.0	57.52	0.0	0.0	0.0	0.0	17.39	0.000624
category	rhythm	6	0.0	0.0	0.0	23.4	0.003645	16.67	0.0	0.0	67.15	0.0	0.0	0.0	0.0	20.43	0.000817
subcategory	harmonic-recognition	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
subcategory	interval-recognition	3	0.0	0.0	0.0	10.42	0.002548	33.33	0.0	0.0	26.86	0.0	0.0	0.0	0.0	12.55	0.00047
subcategory	pitch-recognition	3	33.33	0.0	0.0	5.94	0.001078	0.0	0.0	0.0	30.66	0.0	0.0	0.0	0.0	4.84	0.000154
subcategory	proportion-recognition	3	0.0	0.0	0.0	8.08	0.001781	33.33	0.0	0.0	32.5	0.0	0.0	0.0	0.0	10.33	0.000413
subcategory	rhythmic-recognition	3	0.0	0.0	0.0	15.32	0.001864	0.0	0.0	0.0	34.65	0.0	0.0	0.0	0.0	10.1	0.000404
skill	interval recognition	3	0.0	0.0	0.0	10.42	0.002548	33.33	0.0	0.0	26.86	0.0	0.0	0.0	0.0	12.55	0.00047
skill	note length	3	0.0	0.0	0.0	15.32	0.001864	0.0	0.0	0.0	34.65	0.0	0.0	0.0	0.0	10.1	0.000404
skill	pitch recognition	3	33.33	0.0	0.0	5.94	0.001078	0.0	0.0	0.0	30.66	0.0	0.0	0.0	0.0	4.84	0.000154
skill	rhythm pattern	3	0.0	0.0	0.0	8.08	0.001781	33.33	0.0	0.0	32.5	0.0	0.0	0.0	0.0	10.33	0.000413
skill	tonality recognition	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
rel/abs	absolute	6	16.67	0.0	0.0	21.26	0.002942	0.0	0.0	0.0	65.31	0.0	0.0	0.0	0.0	14.94	0.000559
rel/abs	relative	9	11.11	0.0	0.0	25.07	0.00568	22.22	0.0	0.0	73.65	0.0	11.11	0.0	0.0	35.7	0.001369
specification	harmony-relative	3	33.33	0.0	0.0	6.57	0.001351	0.0	0.0	0.0	14.29	0.0	33.33	0.0	0.0	12.82	0.000486
specification	pitch-absolute	3	33.33	0.0	0.0	5.94	0.001078	0.0	0.0	0.0	30.66	0.0	0.0	0.0	0.0	4.84	0.000154
specification	pitch-relative	3	0.0	0.0	0.0	10.42	0.002548	33.33	0.0	0.0	26.86	0.0	0.0	0.0	0.0	12.55	0.00047
specification	rhythm-absolute	3	0.0	0.0	0.0	15.32	0.001864	0.0	0.0	0.0	34.65	0.0	0.0	0.0	0.0	10.1	0.000404
specification	rhythm-relative	3	0.0	0.0	0.0	8.08	0.001781	33.33	0.0	0.0	32.5	0.0	0.0	0.0	0.0	10.33	0.000413
