Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.5-flash-lite	OVERALL	ALL	113	40	73	0	0	35.4	0.0	0.0	1326.12	0.235867
google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	37	10	27	0	0	27.03	0.0	0.0	261.27	0.02731
google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	37	18	19	0	0	48.65	0.0	0.0	331.03	0.129322
google/gemini-2.5-flash-lite	submodality	visual.short.png	39	12	27	0	0	30.77	0.0	0.0	733.82	0.079235
google/gemini-2.5-flash-lite	is_nota_correct	0	90	35	55	0	0	38.89	0.0	0.0	981.23	0.180903
google/gemini-2.5-flash-lite	is_nota_correct	1	23	5	18	0	0	21.74	0.0	0.0	344.89	0.054964
google/gemini-2.5-flash-lite	meta-question_id	0	12	2	10	0	0	16.67	0.0	0.0	76.63	0.015826
google/gemini-2.5-flash-lite	meta-question_id	1	6	4	2	0	0	66.67	0.0	0.0	47.81	0.00931
google/gemini-2.5-flash-lite	meta-question_id	2	12	6	6	0	0	50.0	0.0	0.0	220.72	0.039836
google/gemini-2.5-flash-lite	meta-question_id	3	9	5	4	0	0	55.56	0.0	0.0	192.47	0.027607
google/gemini-2.5-flash-lite	meta-question_id	4	18	4	14	0	0	22.22	0.0	0.0	137.56	0.028714
google/gemini-2.5-flash-lite	meta-question_id	5	14	5	9	0	0	35.71	0.0	0.0	117.49	0.019428
google/gemini-2.5-flash-lite	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	83.96	0.016882
google/gemini-2.5-flash-lite	meta-question_id	7	12	5	7	0	0	41.67	0.0	0.0	60.38	0.018188
google/gemini-2.5-flash-lite	meta-question_id	8	17	7	10	0	0	41.18	0.0	0.0	243.61	0.040803
google/gemini-2.5-flash-lite	meta-question_id	9	6	2	4	0	0	33.33	0.0	0.0	145.48	0.019273
google/gemini-2.5-flash-lite	category	harmony	35	14	21	0	0	40.0	0.0	0.0	449.47	0.078264
google/gemini-2.5-flash-lite	category	pitch	39	17	22	0	0	43.59	0.0	0.0	537.63	0.092578
google/gemini-2.5-flash-lite	category	rhythm	39	9	30	0	0	23.08	0.0	0.0	339.02	0.065025
google/gemini-2.5-flash-lite	subcategory	harmony-absolute	17	7	10	0	0	41.18	0.0	0.0	243.61	0.040803
google/gemini-2.5-flash-lite	subcategory	harmony-relative	18	7	11	0	0	38.89	0.0	0.0	205.86	0.037461
google/gemini-2.5-flash-lite	subcategory	pitch-absolute	18	6	12	0	0	33.33	0.0	0.0	124.44	0.025136
google/gemini-2.5-flash-lite	subcategory	pitch-relative	21	11	10	0	0	52.38	0.0	0.0	413.19	0.067442
google/gemini-2.5-flash-lite	subcategory	rhythm-absolute	18	4	14	0	0	22.22	0.0	0.0	137.56	0.028714
google/gemini-2.5-flash-lite	subcategory	rhythm-relative	21	5	16	0	0	23.81	0.0	0.0	201.46	0.036311
google/gemini-2.5-flash-lite	skill	cadence recognition	6	2	4	0	0	33.33	0.0	0.0	145.48	0.019273
google/gemini-2.5-flash-lite	skill	chord recognition	17	7	10	0	0	41.18	0.0	0.0	243.61	0.040803
google/gemini-2.5-flash-lite	skill	interval recognition	12	6	6	0	0	50.0	0.0	0.0	220.72	0.039836
google/gemini-2.5-flash-lite	skill	interval statistics	9	5	4	0	0	55.56	0.0	0.0	192.47	0.027607
google/gemini-2.5-flash-lite	skill	note length	18	4	14	0	0	22.22	0.0	0.0	137.56	0.028714
google/gemini-2.5-flash-lite	skill	pitch recognition	12	2	10	0	0	16.67	0.0	0.0	76.63	0.015826
google/gemini-2.5-flash-lite	skill	pitch statistics	6	4	2	0	0	66.67	0.0	0.0	47.81	0.00931
google/gemini-2.5-flash-lite	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	83.96	0.016882
google/gemini-2.5-flash-lite	skill	time signature	14	5	9	0	0	35.71	0.0	0.0	117.49	0.019428
google/gemini-2.5-flash-lite	skill	tonality recognition	12	5	7	0	0	41.67	0.0	0.0	60.38	0.018188
google/gemini-2.5-flash-lite	rel/abs	absolute	53	17	36	0	0	32.08	0.0	0.0	505.61	0.094653
google/gemini-2.5-flash-lite	rel/abs	relative	60	23	37	0	0	38.33	0.0	0.0	820.51	0.141214
