Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	34.67	24.0	25.33
submodality	audio.mastermix.wav	25	44.0	32.0	12.0
submodality	symbolic.abc.txt	25	24.0	20.0	24.0
submodality	visual.short.png	25	36.0	20.0	40.0
piece_id	Anonymous_AusMeinesHerzensGrunde	21	33.33	23.81	19.05
piece_id	Bach_IchStehAnDeinerKrippe	3	66.67	0.0	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	11.11	33.33	22.22
piece_id	Drese_JesuGehVoran	3	100.0	0.0	66.67
piece_id	Gesius_BefiehlDuDeineWege	6	16.67	50.0	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	50.0	33.33	0.0
piece_id	Jan_DuGrosserSchmerzensmann	3	33.33	33.33	66.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	25.0	16.67	33.33
piece_id	Vulpius_ChristusDerIstMeinLeben	3	100.0	33.33	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	22.22	11.11	22.22
is_nota_correct	0	60	35.0	21.67	16.67
is_nota_correct	1	15	33.33	33.33	60.0
meta-question_id	1	9	0.0	33.33	33.33
meta-question_id	10	6	33.33	16.67	33.33
meta-question_id	11	3	0.0	0.0	33.33
meta-question_id	2	6	16.67	0.0	50.0
meta-question_id	3	9	55.56	11.11	33.33
meta-question_id	4	6	33.33	50.0	0.0
meta-question_id	5	9	44.44	0.0	22.22
meta-question_id	6	6	50.0	66.67	16.67
meta-question_id	7	9	44.44	44.44	33.33
meta-question_id	8	6	16.67	0.0	0.0
meta-question_id	9	6	66.67	33.33	16.67
category	harmony	15	40.0	20.0	26.67
category	pitch	30	26.67	23.33	30.0
category	rhythm	30	40.0	26.67	20.0
subcategory	harmonic-recognition	15	40.0	20.0	26.67
subcategory	interval-recognition	15	46.67	26.67	20.0
subcategory	pitch-recognition	15	6.67	20.0	40.0
subcategory	proportion-recognition	15	33.33	26.67	20.0
subcategory	rhythmic-recognition	15	46.67	26.67	20.0
skill	cadence recognition	3	0.0	0.0	33.33
skill	chord recognition	6	33.33	16.67	33.33
skill	interval recognition	9	55.56	11.11	33.33
skill	interval statistics	6	33.33	50.0	0.0
skill	note length	9	44.44	0.0	22.22
skill	note length statistics	6	50.0	66.67	16.67
skill	pitch recognition	9	0.0	33.33	33.33
skill	pitch statistics	6	16.67	0.0	50.0
skill	rhythm pattern	9	44.44	44.44	33.33
skill	rhythm pattern statistics	6	16.67	0.0	0.0
skill	tonality recognition	6	66.67	33.33	16.67
rel/abs	absolute	36	27.78	22.22	30.56
rel/abs	relative	39	41.03	25.64	20.51
specification	harmony-absolute	6	33.33	16.67	33.33
specification	harmony-relative	9	44.44	22.22	22.22
specification	pitch-absolute	15	6.67	20.0	40.0
specification	pitch-relative	15	46.67	26.67	20.0
specification	rhythm-absolute	15	46.67	26.67	20.0
specification	rhythm-relative	15	33.33	26.67	20.0
