Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	28.67	25.0
submodality	audio.mastermix.wav	100	33.0	28.0
submodality	symbolic.abc.txt	100	26.0	21.0
submodality	visual.short.png	100	27.0	26.0
piece_id	Anonymous_AusMeinesHerzensGrunde	33	21.21	21.21
piece_id	Bach_IchStehAnDeinerKrippe	42	30.95	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	23.33	20.0
piece_id	Drese_JesuGehVoran	30	36.67	20.0
piece_id	Gesius_BefiehlDuDeineWege	30	23.33	20.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	13.33	6.67
piece_id	Jan_DuGrosserSchmerzensmann	33	27.27	24.24
piece_id	Telemann_DerLiebenSonneLichtUndPracht	36	36.11	33.33
piece_id	Vulpius_ChristusDerIstMeinLeben	24	45.83	45.83
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27	22.22	14.81
is_nota_correct	0	240	25.42	17.5
is_nota_correct	1	60	41.67	55.0
meta-question_id	1	30	23.33	26.67
meta-question_id	10	21	28.57	19.05
meta-question_id	11	18	11.11	22.22
meta-question_id	2	30	33.33	26.67
meta-question_id	3	30	23.33	10.0
meta-question_id	4	30	33.33	26.67
meta-question_id	5	30	26.67	23.33
meta-question_id	6	30	56.67	56.67
meta-question_id	7	30	30.0	26.67
meta-question_id	8	30	20.0	13.33
meta-question_id	9	21	19.05	19.05
category	harmony	60	20.0	20.0
category	pitch	120	28.33	22.5
category	rhythm	120	33.33	30.0
subcategory	harmonic-recognition	60	20.0	20.0
subcategory	interval-recognition	60	28.33	18.33
subcategory	pitch-recognition	60	28.33	26.67
subcategory	proportion-recognition	60	25.0	20.0
subcategory	rhythmic-recognition	60	41.67	40.0
skill	cadence recognition	18	11.11	22.22
skill	chord recognition	21	28.57	19.05
skill	interval recognition	30	23.33	10.0
skill	interval statistics	30	33.33	26.67
skill	note length	30	26.67	23.33
skill	note length statistics	30	56.67	56.67
skill	pitch recognition	30	23.33	26.67
skill	pitch statistics	30	33.33	26.67
skill	rhythm pattern	30	30.0	26.67
skill	rhythm pattern statistics	30	20.0	13.33
skill	tonality recognition	21	19.05	19.05
rel/abs	absolute	141	34.04	31.21
rel/abs	relative	159	23.9	19.5
specification	harmony-absolute	21	28.57	19.05
specification	harmony-relative	39	15.38	20.51
specification	pitch-absolute	60	28.33	26.67
specification	pitch-relative	60	28.33	18.33
specification	rhythm-absolute	60	41.67	40.0
specification	rhythm-relative	60	25.0	20.0
