Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	300	44.33	33.33	25.33	31.67	42.33	23.67	34.0	24.67	24.33	39.33	37.33
submodality	audio.mastermix.wav	100	33.0	25.0	27.0	36.0	36.0	20.0	27.0	25.0	27.0	33.0	36.0
submodality	symbolic.abc.txt	100	59.0	38.0	30.0	37.0	59.0	19.0	39.0	25.0	27.0	51.0	40.0
submodality	visual.short.png	100	41.0	37.0	19.0	22.0	32.0	32.0	36.0	24.0	19.0	34.0	36.0
piece_id	Anonymous_AusMeinesHerzensGrunde	39	46.15	41.03	23.08	28.21	53.85	38.46	41.03	35.9	17.95	48.72	33.33
piece_id	Bach_IchStehAnDeinerKrippe	15	20.0	6.67	6.67	13.33	26.67	26.67	26.67	20.0	13.33	20.0	20.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	33	36.36	24.24	24.24	39.39	54.55	24.24	39.39	15.15	24.24	42.42	30.3
piece_id	Drese_JesuGehVoran	21	47.62	38.1	33.33	33.33	47.62	33.33	28.57	47.62	42.86	23.81	57.14
piece_id	Gesius_BefiehlDuDeineWege	33	54.55	21.21	18.18	30.3	36.36	12.12	30.3	18.18	39.39	39.39	36.36
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	33	51.52	42.42	30.3	33.33	33.33	30.3	36.36	24.24	24.24	45.45	48.48
piece_id	Jan_DuGrosserSchmerzensmann	33	48.48	30.3	33.33	36.36	42.42	18.18	30.3	18.18	30.3	39.39	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	36	50.0	27.78	22.22	41.67	36.11	13.89	41.67	30.56	19.44	36.11	44.44
piece_id	Vulpius_ChristusDerIstMeinLeben	33	51.52	39.39	39.39	18.18	51.52	21.21	33.33	21.21	18.18	42.42	39.39
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	16.67	54.17	12.5	33.33	29.17	20.83	20.83	16.67	12.5	37.5	25.0
is_nota_correct	0	240	44.58	37.08	25.0	28.75	39.17	22.5	34.17	21.25	19.17	42.92	40.83
is_nota_correct	1	60	43.33	18.33	26.67	43.33	55.0	28.33	33.33	38.33	45.0	25.0	23.33
meta-question_id	1	30	33.33	16.67	26.67	33.33	43.33	23.33	33.33	10.0	26.67	40.0	33.33
meta-question_id	10	21	42.86	61.9	19.05	23.81	42.86	28.57	38.1	19.05	28.57	42.86	33.33
meta-question_id	11	18	33.33	33.33	16.67	38.89	27.78	16.67	44.44	11.11	16.67	50.0	27.78
meta-question_id	2	30	33.33	23.33	30.0	30.0	40.0	20.0	33.33	16.67	13.33	40.0	26.67
meta-question_id	3	30	23.33	33.33	3.33	13.33	26.67	20.0	6.67	10.0	13.33	26.67	20.0
meta-question_id	4	30	40.0	30.0	23.33	16.67	33.33	20.0	50.0	33.33	23.33	30.0	36.67
meta-question_id	5	30	70.0	40.0	26.67	43.33	50.0	23.33	33.33	43.33	16.67	43.33	56.67
meta-question_id	6	30	56.67	46.67	36.67	60.0	63.33	46.67	66.67	40.0	43.33	56.67	50.0
