Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	45.07	0.0	0.0	2599.1	0.741634	34.27	1.42	0.2	6267.97	1.216352	34.53	0.0	0.0	2460.55	0.106695
submodality	audio.mastermix.wav	250	32.0	0.0	0.0	816.0	0.177251	29.2	0.56	0.56	1466.23	1.058875	28.0	0.0	0.0	989.14	0.025725
submodality	symbolic.abc.txt	250	58.8	0.0	0.0	891.39	0.293518	44.0	0.0	0.0	1298.07	0.048618	42.0	0.0	0.0	863.87	0.047554
submodality	visual.short.png	250	44.4	0.0	0.0	891.71	0.270865	29.6	3.41	0.0	3503.67	0.108859	33.6	0.0	0.0	607.54	0.033415
piece_id	Anonymous_AusMeinesHerzensGrunde	78	43.59	0.0	0.0	276.52	0.086259	20.51	0.0	1.61	1676.88	0.199679	33.33	0.0	0.0	280.13	0.013091
piece_id	Bach_IchStehAnDeinerKrippe	66	42.42	0.0	0.0	232.4	0.067483	33.33	2.27	0.0	221.89	0.101692	24.24	0.0	0.0	225.42	0.009337
piece_id	Crueger_AufAufMeinHerzMitFreuden	93	40.86	0.0	0.0	353.35	0.102346	32.26	3.17	0.0	757.65	0.171995	32.26	0.0	0.0	298.9	0.014371
piece_id	Drese_JesuGehVoran	60	35.0	0.0	0.0	197.56	0.054614	25.0	0.0	0.0	281.42	0.074683	21.67	0.0	0.0	198.46	0.007873
piece_id	Gesius_BefiehlDuDeineWege	96	53.12	0.0	0.0	335.86	0.095187	43.75	1.85	0.0	1128.8	0.184986	48.96	0.0	0.0	295.18	0.012267
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	66	37.88	0.0	0.0	220.11	0.062517	21.21	1.92	0.0	424.57	0.089265	18.18	0.0	0.0	221.89	0.009658
