Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	32.0	25.33	29.33
submodality	audio.mastermix.wav	25	32.0	32.0	36.0
submodality	symbolic.abc.txt	25	36.0	20.0	28.0
submodality	visual.short.png	25	28.0	24.0	24.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	22.22	22.22	33.33
piece_id	Bach_IchStehAnDeinerKrippe	6	66.67	16.67	16.67
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	16.67	27.78	11.11
piece_id	Drese_JesuGehVoran	9	11.11	33.33	33.33
piece_id	Gesius_BefiehlDuDeineWege	3	0.0	0.0	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	9	66.67	44.44	66.67
piece_id	Jan_DuGrosserSchmerzensmann	3	33.33	0.0	0.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	77.78	44.44	55.56
piece_id	Vulpius_ChristusDerIstMeinLeben	6	0.0	0.0	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	0.0	0.0	33.33
is_nota_correct	0	60	38.33	18.33	26.67
is_nota_correct	1	15	6.67	53.33	40.0
meta-question_id	1	9	11.11	22.22	11.11
meta-question_id	10	6	50.0	33.33	16.67
meta-question_id	11	3	33.33	33.33	66.67
meta-question_id	2	6	0.0	0.0	16.67
meta-question_id	3	9	44.44	33.33	11.11
meta-question_id	4	6	33.33	33.33	50.0
meta-question_id	5	9	11.11	11.11	22.22
meta-question_id	6	6	50.0	50.0	50.0
meta-question_id	7	9	44.44	22.22	22.22
meta-question_id	8	6	50.0	0.0	50.0
meta-question_id	9	6	33.33	50.0	50.0
category	harmony	15	40.0	40.0	40.0
category	pitch	30	23.33	23.33	20.0
category	rhythm	30	36.67	20.0	33.33
subcategory	harmonic-recognition	15	40.0	40.0	40.0
subcategory	interval-recognition	15	40.0	33.33	26.67
subcategory	pitch-recognition	15	6.67	13.33	13.33
subcategory	proportion-recognition	15	46.67	13.33	33.33
subcategory	rhythmic-recognition	15	26.67	26.67	33.33
skill	cadence recognition	3	33.33	33.33	66.67
skill	chord recognition	6	50.0	33.33	16.67
skill	interval recognition	9	44.44	33.33	11.11
skill	interval statistics	6	33.33	33.33	50.0
skill	note length	9	11.11	11.11	22.22
skill	note length statistics	6	50.0	50.0	50.0
skill	pitch recognition	9	11.11	22.22	11.11
skill	pitch statistics	6	0.0	0.0	16.67
skill	rhythm pattern	9	44.44	22.22	22.22
skill	rhythm pattern statistics	6	50.0	0.0	50.0
skill	tonality recognition	6	33.33	50.0	50.0
rel/abs	absolute	36	22.22	22.22	22.22
rel/abs	relative	39	41.03	28.21	35.9
specification	harmony-absolute	6	50.0	33.33	16.67
specification	harmony-relative	9	33.33	44.44	55.56
specification	pitch-absolute	15	6.67	13.33	13.33
specification	pitch-relative	15	40.0	33.33	26.67
specification	rhythm-absolute	15	26.67	26.67	33.33
specification	rhythm-relative	15	46.67	13.33	33.33
