Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	aggregate-mistral_Mean_Accuracy_(10_runs)	aggregate-mistral_Mean_Unparsable_Percent	aggregate-mistral_Mean_Model_Error_Percent	aggregate-mistral_Sum_Total_Time_s	aggregate-mistral_Sum_Total_Price	google_gemini-2.5-flash-lite_Mean_Accuracy_(10_runs)	google_gemini-2.5-flash-lite_Mean_Unparsable_Percent	google_gemini-2.5-flash-lite_Mean_Model_Error_Percent	google_gemini-2.5-flash-lite_Sum_Total_Time_s	google_gemini-2.5-flash-lite_Sum_Total_Price	aggregate-gpt-4o_Mean_Accuracy_(10_runs)	aggregate-gpt-4o_Mean_Unparsable_Percent	aggregate-gpt-4o_Mean_Model_Error_Percent	aggregate-gpt-4o_Sum_Total_Time_s	aggregate-gpt-4o_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	33.999	0.0	0.0	478.12	0.0199	42.0	0.0	0.0	536.6	0.14	34.0	2.361	0.0	1349.01	0.2244	38.001	0.0	0.0	1786.51	0.2402	33.998	0.0	0.0	532.04	1.2152	38.666	0.0	0.0	2497.76	0.0
submodality	audio.mastermix.wav	24.0	0.0	0.0	197.61	0.0049	22.0	0.0	0.0	178.47	0.0352	38.0	0.0	0.0	318.91	0.1969	34.0	0.0	0.0	355.23	0.0407	22.0	0.0	0.0	224.63	0.8473	22.0	0.0	0.0	686.29	0.0
submodality	symbolic.abc.txt	50.0	0.0	0.0	160.88	0.0087	68.0	0.0	0.0	178.23	0.0553	32.0	0.0	0.0	260.5	0.0092	56.0	0.0	0.0	780.88	0.1159	46.0	0.0	0.0	169.45	0.2584	64.0	0.0	0.0	1281.25	0.0
submodality	visual.short.png	28.0	0.0	0.0	119.6	0.0064	36.0	0.0	0.0	179.94	0.0495	32.0	5.833	0.0	769.59	0.0182	24.0	0.0	0.0	650.4	0.0836	34.0	0.0	0.0	137.98	0.1095	30.0	0.0	0.0	530.18	0.0
is_nota_correct	0	35.833	0.0	0.0	369.29	0.0152	43.333	0.0	0.0	422.71	0.1097	33.334	2.858	0.0	1104.91	0.1751	43.333	0.0	0.0	1318.42	0.1745	35.0	0.0	0.0	428.1	0.9522	33.332	0.0	0.0	1778.52	0.0
is_nota_correct	1	26.665	0.0	0.0	108.84	0.0047	36.666	0.0	0.0	113.88	0.0304	36.665	0.0	0.0	244.12	0.0493	16.666	0.0	0.0	468.09	0.0657	29.999	0.0	0.0	103.95	0.263	60.001	0.0	0.0	719.25	0.0
meta-question_id	1	13.333	0.0	0.0	99.32	0.0041	40.0	0.0	0.0	99.91	0.0288	36.666	0.0	0.0	365.45	0.0465	26.666	0.0	0.0	301.22	0.0372	36.665	0.0	0.0	97.86	0.2317	50.0	0.0	0.0	562.67	0.0
meta-question_id	3	40.0	0.0	0.0	115.06	0.0052	36.666	0.0	0.0	118.71	0.0342	19.998	5.0	0.0	352.1	0.0502	26.666	0.0	0.0	575.53	0.0833	20.0	0.0	0.0	123.74	0.2691	26.665	0.0	0.0	876.18	0.0
meta-question_id	5	46.667	0.0	0.0	103.5	0.0041	43.334	0.0	0.0	110.98	0.0288	46.667	3.333	0.0	316.61	0.0501	46.667	0.0	0.0	279.65	0.038	39.999	0.0	0.0	117.77	0.2587	36.666	0.0	0.0	378.47	0.0
meta-question_id	7	36.666	0.0	0.0	84.78	0.0037	36.667	0.0	0.0	114.17	0.029	26.666	0.0	0.0	153.68	0.0392	36.667	0.0	0.0	417.7	0.0577	33.333	0.0	0.0	108.77	0.2518	36.666	0.0	0.0	515.48	0.0
meta-question_id	9	33.332	0.0	0.0	75.46	0.0029	53.335	0.0	0.0	92.85	0.0193	40.0	0.0	0.0	161.16	0.0384	53.333	0.0	0.0	212.38	0.0241	40.001	0.0	0.0	83.92	0.2039	43.333	0.0	0.0	164.97	0.0
category	harmony	33.332	0.0	0.0	75.46	0.0029	53.335	0.0	0.0	92.85	0.0193	40.0	0.0	0.0	161.16	0.0384	53.333	0.0	0.0	212.38	0.0241	40.001	0.0	0.0	83.92	0.2039	43.333	0.0	0.0	164.97	0.0
category	pitch	26.665	0.0	0.0	214.38	0.0093	38.333	0.0	0.0	218.6	0.063	28.332	3.333	0.0	717.55	0.0967	26.668	0.0	0.0	876.75	0.1204	28.335	0.0	0.0	221.57	0.5008	38.333	0.0	0.0	1438.85	0.0
category	rhythm	41.666	0.0	0.0	188.27	0.0077	40.0	0.0	0.0	225.17	0.0578	36.667	2.5	0.0	470.31	0.0893	41.666	0.0	0.0	697.37	0.0957	36.666	0.0	0.0	226.55	0.5105	36.665	0.0	0.0	893.95	0.0
subcategory	harmonic-recognition	33.332	0.0	0.0	75.46	0.0029	53.335	0.0	0.0	92.85	0.0193	40.0	0.0	0.0	161.16	0.0384	53.333	0.0	0.0	212.38	0.0241	40.001	0.0	0.0	83.92	0.2039	43.333	0.0	0.0	164.97	0.0
subcategory	interval-recognition	40.0	0.0	0.0	115.06	0.0052	36.666	0.0	0.0	118.71	0.0342	19.998	5.0	0.0	352.1	0.0502	26.666	0.0	0.0	575.53	0.0833	20.0	0.0	0.0	123.74	0.2691	26.665	0.0	0.0	876.18	0.0
subcategory	pitch-recognition	13.333	0.0	0.0	99.32	0.0041	40.0	0.0	0.0	99.91	0.0288	36.666	0.0	0.0	365.45	0.0465	26.666	0.0	0.0	301.22	0.0372	36.665	0.0	0.0	97.86	0.2317	50.0	0.0	0.0	562.67	0.0
subcategory	proportion-recognition	36.666	0.0	0.0	84.78	0.0037	36.667	0.0	0.0	114.17	0.029	26.666	0.0	0.0	153.68	0.0392	36.667	0.0	0.0	417.7	0.0577	33.333	0.0	0.0	108.77	0.2518	36.666	0.0	0.0	515.48	0.0
subcategory	rhythmic-recognition	46.667	0.0	0.0	103.5	0.0041	43.334	0.0	0.0	110.98	0.0288	46.667	3.333	0.0	316.61	0.0501	46.667	0.0	0.0	279.65	0.038	39.999	0.0	0.0	117.77	0.2587	36.666	0.0	0.0	378.47	0.0
skill	interval recognition	40.0	0.0	0.0	115.06	0.0052	36.666	0.0	0.0	118.71	0.0342	19.998	5.0	0.0	352.1	0.0502	26.666	0.0	0.0	575.53	0.0833	20.0	0.0	0.0	123.74	0.2691	26.665	0.0	0.0	876.18	0.0
skill	note length	46.667	0.0	0.0	103.5	0.0041	43.334	0.0	0.0	110.98	0.0288	46.667	3.333	0.0	316.61	0.0501	46.667	0.0	0.0	279.65	0.038	39.999	0.0	0.0	117.77	0.2587	36.666	0.0	0.0	378.47	0.0
skill	pitch recognition	13.333	0.0	0.0	99.32	0.0041	40.0	0.0	0.0	99.91	0.0288	36.666	0.0	0.0	365.45	0.0465	26.666	0.0	0.0	301.22	0.0372	36.665	0.0	0.0	97.86	0.2317	50.0	0.0	0.0	562.67	0.0
skill	rhythm pattern	36.666	0.0	0.0	84.78	0.0037	36.667	0.0	0.0	114.17	0.029	26.666	0.0	0.0	153.68	0.0392	36.667	0.0	0.0	417.7	0.0577	33.333	0.0	0.0	108.77	0.2518	36.666	0.0	0.0	515.48	0.0
skill	tonality recognition	33.332	0.0	0.0	75.46	0.0029	53.335	0.0	0.0	92.85	0.0193	40.0	0.0	0.0	161.16	0.0384	53.333	0.0	0.0	212.38	0.0241	40.001	0.0	0.0	83.92	0.2039	43.333	0.0	0.0	164.97	0.0
rel/abs	absolute	30.0	0.0	0.0	202.8	0.0082	41.666	0.0	0.0	210.89	0.0576	41.668	2.5	0.0	682.07	0.0966	36.668	0.0	0.0	580.89	0.0751	38.332	0.0	0.0	215.63	0.4904	43.333	0.0	0.0	941.13	0.0
rel/abs	relative	36.664	0.0	0.0	275.32	0.0117	42.221	0.0	0.0	325.71	0.0825	28.889	2.0	0.0	666.93	0.1278	38.889	0.0	0.0	1205.63	0.1651	31.11	0.0	0.0	316.43	0.7249	35.553	0.0	0.0	1556.62	0.0
specification	harmony-relative	33.332	0.0	0.0	75.46	0.0029	53.335	0.0	0.0	92.85	0.0193	40.0	0.0	0.0	161.16	0.0384	53.333	0.0	0.0	212.38	0.0241	40.001	0.0	0.0	83.92	0.2039	43.333	0.0	0.0	164.97	0.0
specification	pitch-absolute	13.333	0.0	0.0	99.32	0.0041	40.0	0.0	0.0	99.91	0.0288	36.666	0.0	0.0	365.45	0.0465	26.666	0.0	0.0	301.22	0.0372	36.665	0.0	0.0	97.86	0.2317	50.0	0.0	0.0	562.67	0.0
specification	pitch-relative	40.0	0.0	0.0	115.06	0.0052	36.666	0.0	0.0	118.71	0.0342	19.998	5.0	0.0	352.1	0.0502	26.666	0.0	0.0	575.53	0.0833	20.0	0.0	0.0	123.74	0.2691	26.665	0.0	0.0	876.18	0.0
specification	rhythm-absolute	46.667	0.0	0.0	103.5	0.0041	43.334	0.0	0.0	110.98	0.0288	46.667	3.333	0.0	316.61	0.0501	46.667	0.0	0.0	279.65	0.038	39.999	0.0	0.0	117.77	0.2587	36.666	0.0	0.0	378.47	0.0
specification	rhythm-relative	36.666	0.0	0.0	84.78	0.0037	36.667	0.0	0.0	114.17	0.029	26.666	0.0	0.0	153.68	0.0392	36.667	0.0	0.0	417.7	0.0577	33.333	0.0	0.0	108.77	0.2518	36.666	0.0	0.0	515.48	0.0
