Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	150	28.67	16.0	22.67
submodality	audio.mastermix.wav	50	26.0	18.0	14.0
submodality	symbolic.abc.txt	50	26.0	18.0	22.0
submodality	visual.short.png	50	34.0	12.0	32.0
piece_id	Anonymous_AusMeinesHerzensGrunde	39	28.21	15.38	17.95
piece_id	Bach_IchStehAnDeinerKrippe	12	41.67	0.0	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	44.44	22.22	22.22
piece_id	Drese_JesuGehVoran	9	22.22	44.44	44.44
piece_id	Gesius_BefiehlDuDeineWege	9	22.22	11.11	11.11
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	9	11.11	33.33	22.22
piece_id	Jan_DuGrosserSchmerzensmann	18	11.11	16.67	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	44.44	5.56	11.11
piece_id	Vulpius_ChristusDerIstMeinLeben	9	66.67	11.11	22.22
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	18	11.11	16.67	22.22
is_nota_correct	0	120	31.67	15.0	20.0
is_nota_correct	1	30	16.67	20.0	33.33
meta-question_id	1	15	20.0	26.67	26.67
meta-question_id	10	9	11.11	11.11	22.22
meta-question_id	11	9	11.11	11.11	11.11
meta-question_id	2	15	6.67	13.33	33.33
meta-question_id	3	15	33.33	6.67	13.33
meta-question_id	4	15	40.0	13.33	26.67
meta-question_id	5	15	46.67	0.0	20.0
meta-question_id	6	15	46.67	20.0	13.33
meta-question_id	7	15	40.0	20.0	33.33
meta-question_id	8	15	6.67	6.67	6.67
meta-question_id	9	12	41.67	50.0	41.67
category	harmony	30	23.33	26.67	26.67
category	pitch	60	25.0	15.0	25.0
category	rhythm	60	35.0	11.67	18.33
subcategory	harmonic-recognition	30	23.33	26.67	26.67
subcategory	interval-recognition	30	36.67	10.0	20.0
subcategory	pitch-recognition	30	13.33	20.0	30.0
subcategory	proportion-recognition	30	23.33	13.33	20.0
subcategory	rhythmic-recognition	30	46.67	10.0	16.67
skill	cadence recognition	9	11.11	11.11	11.11
skill	chord recognition	9	11.11	11.11	22.22
skill	interval recognition	15	33.33	6.67	13.33
skill	interval statistics	15	40.0	13.33	26.67
skill	note length	15	46.67	0.0	20.0
skill	note length statistics	15	46.67	20.0	13.33
skill	pitch recognition	15	20.0	26.67	26.67
skill	pitch statistics	15	6.67	13.33	33.33
skill	rhythm pattern	15	40.0	20.0	33.33
skill	rhythm pattern statistics	15	6.67	6.67	6.67
skill	tonality recognition	12	41.67	50.0	41.67
rel/abs	absolute	69	27.54	14.49	23.19
rel/abs	relative	81	29.63	17.28	22.22
specification	harmony-absolute	9	11.11	11.11	22.22
specification	harmony-relative	21	28.57	33.33	28.57
specification	pitch-absolute	30	13.33	20.0	30.0
specification	pitch-relative	30	36.67	10.0	20.0
specification	rhythm-absolute	30	46.67	10.0	16.67
specification	rhythm-relative	30	23.33	13.33	20.0
