Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	150	32.67	27.33	23.33
submodality	audio.mastermix.wav	50	34.0	28.0	16.0
submodality	symbolic.abc.txt	50	34.0	34.0	30.0
submodality	visual.short.png	50	30.0	20.0	24.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	33.33	22.22	22.22
piece_id	Bach_IchStehAnDeinerKrippe	18	50.0	50.0	27.78
piece_id	Crueger_AufAufMeinHerzMitFreuden	27	55.56	33.33	37.04
piece_id	Drese_JesuGehVoran	15	20.0	33.33	26.67
piece_id	Gesius_BefiehlDuDeineWege	12	16.67	33.33	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	16.67	16.67	33.33
piece_id	Jan_DuGrosserSchmerzensmann	21	23.81	14.29	14.29
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	0.0	0.0	16.67
piece_id	Vulpius_ChristusDerIstMeinLeben	15	40.0	26.67	20.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	21	23.81	19.05	4.76
is_nota_correct	0	120	35.83	23.33	23.33
is_nota_correct	1	30	20.0	43.33	23.33
meta-question_id	1	15	13.33	46.67	26.67
meta-question_id	10	9	44.44	33.33	22.22
meta-question_id	11	9	11.11	0.0	11.11
meta-question_id	2	15	13.33	6.67	0.0
meta-question_id	3	15	20.0	20.0	40.0
meta-question_id	4	15	33.33	13.33	20.0
meta-question_id	5	15	73.33	26.67	33.33
meta-question_id	6	15	60.0	60.0	60.0
meta-question_id	7	15	26.67	26.67	13.33
meta-question_id	8	15	40.0	26.67	20.0
meta-question_id	9	12	16.67	33.33	0.0
category	harmony	30	23.33	23.33	10.0
category	pitch	60	20.0	21.67	21.67
category	rhythm	60	50.0	35.0	31.67
subcategory	harmonic-recognition	30	23.33	23.33	10.0
subcategory	interval-recognition	30	26.67	16.67	30.0
subcategory	pitch-recognition	30	13.33	26.67	13.33
subcategory	proportion-recognition	30	33.33	26.67	16.67
subcategory	rhythmic-recognition	30	66.67	43.33	46.67
skill	cadence recognition	9	11.11	0.0	11.11
skill	chord recognition	9	44.44	33.33	22.22
skill	interval recognition	15	20.0	20.0	40.0
skill	interval statistics	15	33.33	13.33	20.0
skill	note length	15	73.33	26.67	33.33
skill	note length statistics	15	60.0	60.0	60.0
skill	pitch recognition	15	13.33	46.67	26.67
skill	pitch statistics	15	13.33	6.67	0.0
skill	rhythm pattern	15	26.67	26.67	13.33
skill	rhythm pattern statistics	15	40.0	26.67	20.0
skill	tonality recognition	12	16.67	33.33	0.0
rel/abs	absolute	69	40.58	34.78	28.99
rel/abs	relative	81	25.93	20.99	18.52
specification	harmony-absolute	9	44.44	33.33	22.22
specification	harmony-relative	21	14.29	19.05	4.76
specification	pitch-absolute	30	13.33	26.67	13.33
specification	pitch-relative	30	26.67	16.67	30.0
specification	rhythm-absolute	30	66.67	43.33	46.67
specification	rhythm-relative	30	33.33	26.67	16.67
