Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	33.205	1.6136	0.013	1.546	47806.63	7.9432
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	32.668	2.3479	0.0	1.297	19891.61	0.3823
google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	34.567	2.0828	0.042	1.612	14863.62	7.1163
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	32.422	2.0162	0.0	1.766	13051.42	0.4446
google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	36.118	4.9107	0.0	2.077	5344.13	1.0459
google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	33.468	5.6136	0.0	2.172	5047.31	0.8329
google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	35.62	6.1487	0.0	2.371	4671.35	0.8346
google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	33.219	5.3797	0.0	0.98	4730.32	0.6991
google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	31.918	3.5403	0.0	1.279	4989.95	0.8277
google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	32.528	3.8248	0.175	1.284	4858.55	0.7687
google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	32.153	4.2432	0.0	1.09	4860.19	0.9121
google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	30.747	4.9665	0.0	0.979	4662.05	0.9126
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	33.197	3.5104	0.0	1.868	4278.85	0.5378
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	33.133	6.7394	0.0	1.829	4363.9	0.5718
google/gemini-2.0-flash-lite-001	is_nota_correct	0	34.911	1.7899	0.0	1.705	38308.24	6.3767
google/gemini-2.0-flash-lite-001	is_nota_correct	1	26.412	2.9773	0.058	0.997	9498.39	1.5665
google/gemini-2.0-flash-lite-001	meta-question_id	0	24.894	4.968	0.0	1.107	4168.29	0.6776
google/gemini-2.0-flash-lite-001	meta-question_id	1	59.417	6.2603	0.0	3.301	4252.62	0.6285
google/gemini-2.0-flash-lite-001	meta-question_id	2	19.583	2.6544	0.0	0.395	3783.03	0.6875
google/gemini-2.0-flash-lite-001	meta-question_id	3	66.131	7.7663	0.0	6.844	4888.9	0.6577
google/gemini-2.0-flash-lite-001	meta-question_id	4	27.392	3.385	0.0	1.04	7087.97	1.313
google/gemini-2.0-flash-lite-001	meta-question_id	5	55.511	6.5127	0.0	0.0	939.17	0.249
google/gemini-2.0-flash-lite-001	meta-question_id	6	12.988	2.1541	0.072	1.497	6912.66	1.0752
google/gemini-2.0-flash-lite-001	meta-question_id	7	30.21	4.7247	0.0	0.436	3186.66	0.6638
google/gemini-2.0-flash-lite-001	meta-question_id	8	42.655	3.6172	0.0	1.393	8093.58	1.3217
google/gemini-2.0-flash-lite-001	meta-question_id	9	16.139	5.9853	0.0	2.339	4493.73	0.6692
google/gemini-2.0-flash-lite-001	category	harmony	32.846	2.1038	0.0	1.452	15773.98	2.6547
google/gemini-2.0-flash-lite-001	category	pitch	42.47	2.3751	0.0	2.151	17092.86	2.6513
google/gemini-2.0-flash-lite-001	category	rhythm	24.277	1.6793	0.034	1.194	14939.8	2.6372
google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	42.655	3.6172	0.0	1.393	8093.58	1.3217
google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	23.169	3.6994	0.0	1.496	7680.37	1.333
google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	42.232	4.2899	0.0	1.95	8420.95	1.306
google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	42.713	3.9426	0.0	2.269	8671.92	1.3452
google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	27.392	3.385	0.0	1.04	7087.97	1.313
google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	21.216	1.3133	0.065	1.322	7851.82	1.3242
google/gemini-2.0-flash-lite-001	skill	cadence recognition	16.139	5.9853	0.0	2.339	4493.73	0.6692
google/gemini-2.0-flash-lite-001	skill	chord recognition	42.655	3.6172	0.0	1.393	8093.58	1.3217
google/gemini-2.0-flash-lite-001	skill	interval recognition	19.583	2.6544	0.0	0.395	3783.03	0.6875
google/gemini-2.0-flash-lite-001	skill	interval statistics	66.131	7.7663	0.0	6.844	4888.9	0.6577
