Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	15	40.0	0.0	0.0	51.75	0.019483	13.33	0.0	0.0	45.56	0.004462
submodality	audio.mastermix.wav	5	60.0	0.0	0.0	15.74	0.004968	20.0	0.0	0.0	22.8	0.000674
submodality	symbolic.abc.txt	5	40.0	0.0	0.0	15.04	0.012351	0.0	0.0	0.0	12.35	0.003182
submodality	visual.short.png	5	20.0	0.0	0.0	20.97	0.002164	20.0	0.0	0.0	10.41	0.000606
piece_id	Crueger_AufAufMeinHerzMitFreuden	6	16.67	0.0	0.0	16.08	0.00785	0.0	0.0	0.0	16.71	0.001762
piece_id	Gesius_BefiehlDuDeineWege	6	50.0	0.0	0.0	23.37	0.00767	33.33	0.0	0.0	20.46	0.001801
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	66.67	0.0	0.0	12.31	0.003962	0.0	0.0	0.0	8.38	0.000899
is_nota_correct	0	12	41.67	0.0	0.0	36.08	0.015774	8.33	0.0	0.0	33.26	0.003571
is_nota_correct	1	3	33.33	0.0	0.0	15.67	0.003709	33.33	0.0	0.0	12.29	0.000891
meta-question_id	1	3	0.0	0.0	0.0	6.51	0.003717	0.0	0.0	0.0	12.03	0.000885
meta-question_id	3	3	33.33	0.0	0.0	9.05	0.004445	0.0	0.0	0.0	8.68	0.000903
meta-question_id	5	3	66.67	0.0	0.0	12.31	0.003962	0.0	0.0	0.0	8.38	0.000899
meta-question_id	7	3	100.0	0.0	0.0	16.86	0.003953	66.67	0.0	0.0	8.43	0.000916
meta-question_id	9	3	0.0	0.0	0.0	7.03	0.003406	0.0	0.0	0.0	8.04	0.000859
category	harmony	3	0.0	0.0	0.0	7.03	0.003406	0.0	0.0	0.0	8.04	0.000859
category	pitch	6	16.67	0.0	0.0	15.56	0.008162	0.0	0.0	0.0	20.71	0.001788
category	rhythm	6	83.33	0.0	0.0	29.17	0.007915	33.33	0.0	0.0	16.81	0.001815
subcategory	harmonic-recognition	3	0.0	0.0	0.0	7.03	0.003406	0.0	0.0	0.0	8.04	0.000859
subcategory	interval-recognition	3	33.33	0.0	0.0	9.05	0.004445	0.0	0.0	0.0	8.68	0.000903
subcategory	pitch-recognition	3	0.0	0.0	0.0	6.51	0.003717	0.0	0.0	0.0	12.03	0.000885
subcategory	proportion-recognition	3	100.0	0.0	0.0	16.86	0.003953	66.67	0.0	0.0	8.43	0.000916
subcategory	rhythmic-recognition	3	66.67	0.0	0.0	12.31	0.003962	0.0	0.0	0.0	8.38	0.000899
skill	interval recognition	3	33.33	0.0	0.0	9.05	0.004445	0.0	0.0	0.0	8.68	0.000903
skill	note length	3	66.67	0.0	0.0	12.31	0.003962	0.0	0.0	0.0	8.38	0.000899
skill	pitch recognition	3	0.0	0.0	0.0	6.51	0.003717	0.0	0.0	0.0	12.03	0.000885
skill	rhythm pattern	3	100.0	0.0	0.0	16.86	0.003953	66.67	0.0	0.0	8.43	0.000916
skill	tonality recognition	3	0.0	0.0	0.0	7.03	0.003406	0.0	0.0	0.0	8.04	0.000859
rel/abs	absolute	6	33.33	0.0	0.0	18.82	0.00768	0.0	0.0	0.0	20.41	0.001784
rel/abs	relative	9	44.44	0.0	0.0	32.94	0.011803	22.22	0.0	0.0	25.14	0.002678
specification	harmony-relative	3	0.0	0.0	0.0	7.03	0.003406	0.0	0.0	0.0	8.04	0.000859
specification	pitch-absolute	3	0.0	0.0	0.0	6.51	0.003717	0.0	0.0	0.0	12.03	0.000885
specification	pitch-relative	3	33.33	0.0	0.0	9.05	0.004445	0.0	0.0	0.0	8.68	0.000903
specification	rhythm-absolute	3	66.67	0.0	0.0	12.31	0.003962	0.0	0.0	0.0	8.38	0.000899
specification	rhythm-relative	3	100.0	0.0	0.0	16.86	0.003953	66.67	0.0	0.0	8.43	0.000916
