Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	300	46.67	35.0	29.33	37.33	41.0	27.33	35.0	23.0	29.67	43.67	37.67
submodality	audio.mastermix.wav	100	31.0	29.0	34.0	26.0	34.0	28.0	29.0	23.0	34.0	39.0	26.0
submodality	symbolic.abc.txt	100	63.0	37.0	32.0	50.0	61.0	25.0	37.0	26.0	31.0	55.0	49.0
submodality	visual.short.png	100	46.0	39.0	22.0	36.0	28.0	29.0	39.0	20.0	24.0	37.0	38.0
piece_id	Anonymous_AusMeinesHerzensGrunde	36	38.89	22.22	19.44	33.33	30.56	13.89	30.56	22.22	25.0	41.67	36.11
piece_id	Bach_IchStehAnDeinerKrippe	21	52.38	52.38	28.57	47.62	47.62	38.1	28.57	14.29	38.1	47.62	47.62
piece_id	Crueger_AufAufMeinHerzMitFreuden	45	60.0	35.56	31.11	24.44	28.89	15.56	44.44	28.89	24.44	37.78	37.78
piece_id	Drese_JesuGehVoran	30	46.67	30.0	40.0	56.67	56.67	43.33	36.67	26.67	36.67	50.0	46.67
piece_id	Gesius_BefiehlDuDeineWege	12	33.33	33.33	25.0	41.67	41.67	16.67	41.67	25.0	25.0	25.0	41.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	39	38.46	25.64	25.64	33.33	35.9	15.38	30.77	17.95	28.21	43.59	20.51
piece_id	Jan_DuGrosserSchmerzensmann	30	30.0	26.67	13.33	30.0	33.33	50.0	20.0	10.0	30.0	30.0	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	59.26	44.44	37.04	44.44	51.85	7.41	48.15	25.93	14.81	55.56	37.04
piece_id	Vulpius_ChristusDerIstMeinLeben	30	56.67	46.67	46.67	40.0	53.33	46.67	30.0	16.67	46.67	60.0	50.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30	43.33	43.33	26.67	36.67	43.33	33.33	40.0	40.0	30.0	40.0	36.67
is_nota_correct	0	240	45.0	39.58	27.08	38.75	40.83	24.58	35.83	20.0	21.67	47.92	39.17
