Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	47.47	29.47	26.4	35.33	37.07	36.53	23.07	25.07
submodality	audio.mastermix.wav	250	37.2	27.2	31.6	29.6	28.8	30.4	24.4	23.2
submodality	symbolic.abc.txt	250	59.6	28.8	24.8	47.6	52.4	46.8	19.6	30.4
submodality	visual.short.png	250	45.6	32.4	22.8	28.8	30.0	32.4	25.2	21.6
piece_id	Anonymous_AusMeinesHerzensGrunde	72	41.67	23.61	25.0	31.94	29.17	29.17	25.0	25.0
piece_id	Bach_IchStehAnDeinerKrippe	99	40.4	30.3	28.28	33.33	30.3	36.36	26.26	23.23
piece_id	Crueger_AufAufMeinHerzMitFreuden	72	41.67	31.94	25.0	23.61	37.5	27.78	16.67	20.83
piece_id	Drese_JesuGehVoran	75	45.33	26.67	14.67	34.67	25.33	40.0	22.67	14.67
piece_id	Gesius_BefiehlDuDeineWege	72	59.72	26.39	29.17	30.56	38.89	38.89	25.0	26.39
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	54	40.74	20.37	24.07	31.48	37.04	44.44	22.22	27.78
piece_id	Jan_DuGrosserSchmerzensmann	66	34.85	31.82	28.79	27.27	21.21	27.27	24.24	21.21
piece_id	Telemann_DerLiebenSonneLichtUndPracht	81	58.02	33.33	23.46	54.32	55.56	41.98	20.99	32.1
piece_id	Vulpius_ChristusDerIstMeinLeben	90	56.67	26.67	31.11	46.67	51.11	42.22	24.44	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	52.17	42.03	33.33	33.33	40.58	36.23	21.74	24.64
is_nota_correct	0	600	46.67	32.5	22.67	35.0	35.33	38.17	18.83	18.0
is_nota_correct	1	150	50.67	17.33	41.33	36.67	44.0	30.0	40.0	53.33
meta-question_id	1	75	32.0	20.0	21.33	22.67	36.0	32.0	14.67	13.33
meta-question_id	10	51	54.9	39.22	41.18	43.14	35.29	47.06	31.37	35.29
meta-question_id	11	48	29.17	20.83	14.58	25.0	27.08	16.67	12.5	16.67
meta-question_id	2	75	49.33	20.0	21.33	38.67	37.33	30.67	29.33	18.67
meta-question_id	3	75	44.0	34.67	20.0	22.67	32.0	36.0	14.67	25.33
meta-question_id	4	75	61.33	34.67	28.0	32.0	36.0	48.0	18.67	33.33
meta-question_id	5	75	65.33	40.0	34.67	58.67	50.67	41.33	20.0	21.33
meta-question_id	6	75	49.33	32.0	41.33	41.33	48.0	54.67	41.33	36.0
meta-question_id	7	75	50.67	37.33	30.67	42.67	42.67	40.0	32.0	34.67
meta-question_id	8	75	18.67	12.0	17.33	20.0	18.67	9.33	13.33	16.0
meta-question_id	9	51	70.59	35.29	17.65	43.14	41.18	45.1	25.49	25.49
category	harmony	150	52.0	32.0	24.67	37.33	34.67	36.67	23.33	26.0
category	pitch	300	46.67	27.33	22.67	29.0	35.33	36.67	19.33	22.67
category	rhythm	300	46.0	30.33	31.0	40.67	40.0	36.33	26.67	27.0
subcategory	harmonic-recognition	150	52.0	32.0	24.67	37.33	34.67	36.67	23.33	26.0
subcategory	interval-recognition	150	52.67	34.67	24.0	27.33	34.0	42.0	16.67	29.33
subcategory	pitch-recognition	150	40.67	20.0	21.33	30.67	36.67	31.33	22.0	16.0
subcategory	proportion-recognition	150	34.67	24.67	24.0	31.33	30.67	24.67	22.67	25.33
subcategory	rhythmic-recognition	150	57.33	36.0	38.0	50.0	49.33	48.0	30.67	28.67
skill	cadence recognition	48	29.17	20.83	14.58	25.0	27.08	16.67	12.5	16.67
skill	chord recognition	51	54.9	39.22	41.18	43.14	35.29	47.06	31.37	35.29
skill	interval recognition	75	44.0	34.67	20.0	22.67	32.0	36.0	14.67	25.33
skill	interval statistics	75	61.33	34.67	28.0	32.0	36.0	48.0	18.67	33.33
skill	note length	75	65.33	40.0	34.67	58.67	50.67	41.33	20.0	21.33
skill	note length statistics	75	49.33	32.0	41.33	41.33	48.0	54.67	41.33	36.0
skill	pitch recognition	75	32.0	20.0	21.33	22.67	36.0	32.0	14.67	13.33
skill	pitch statistics	75	49.33	20.0	21.33	38.67	37.33	30.67	29.33	18.67
skill	rhythm pattern	75	50.67	37.33	30.67	42.67	42.67	40.0	32.0	34.67
skill	rhythm pattern statistics	75	18.67	12.0	17.33	20.0	18.67	9.33	13.33	16.0
skill	tonality recognition	51	70.59	35.29	17.65	43.14	41.18	45.1	25.49	25.49
rel/abs	absolute	351	49.86	29.63	31.34	40.74	41.88	40.74	27.07	24.22
rel/abs	relative	399	45.36	29.32	22.06	30.58	32.83	32.83	19.55	25.81
specification	harmony-absolute	51	54.9	39.22	41.18	43.14	35.29	47.06	31.37	35.29
specification	harmony-relative	99	50.51	28.28	16.16	34.34	34.34	31.31	19.19	21.21
specification	pitch-absolute	150	40.67	20.0	21.33	30.67	36.67	31.33	22.0	16.0
specification	pitch-relative	150	52.67	34.67	24.0	27.33	34.0	42.0	16.67	29.33
specification	rhythm-absolute	150	57.33	36.0	38.0	50.0	49.33	48.0	30.67	28.67
specification	rhythm-relative	150	34.67	24.67	24.0	31.33	30.67	24.67	22.67	25.33
