Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
OVERALL	ALL	35.531	23.368	28.3	45.499	33.534	28.333	33.833	38.734	37.766	40.233	25.3
submodality	audio.mastermix.wav	32.0	21.9	30.4	33.2	30.9	32.0	30.4	31.4	34.3	33.1	27.0
submodality	symbolic.abc.txt	41.5	24.7	29.1	59.1	33.4	28.1	42.8	50.6	43.5	56.9	22.4
submodality	visual.short.png	33.1	23.5	25.4	44.2	36.3	24.9	28.3	34.2	35.5	30.7	26.5
piece_id	Anonymous_AusMeinesHerzensGrunde	30.232	21.978	22.235	36.051	27.462	18.837	29.715	33.846	34.344	33.842	25.241
piece_id	Bach_IchStehAnDeinerKrippe	35.235	22.564	31.008	44.241	34.03	24.975	35.187	33.941	35.173	36.178	21.745
piece_id	Crueger_AufAufMeinHerzMitFreuden	38.411	21.355	27.716	48.299	34.248	32.69	37.249	39.123	34.425	44.98	33.602
piece_id	Drese_JesuGehVoran	32.143	25.086	30.763	46.286	29.939	27.054	33.998	35.402	40.929	38.076	27.863
piece_id	Gesius_BefiehlDuDeineWege	32.197	22.177	30.348	41.954	28.239	24.762	32.139	35.593	35.388	39.391	18.348
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42.927	21.203	27.776	47.517	37.793	34.019	35.187	41.192	39.637	40.326	20.36
piece_id	Jan_DuGrosserSchmerzensmann	26.951	20.495	25.971	41.762	34.983	28.439	30.229	36.006	29.179	34.881	24.519
piece_id	Telemann_DerLiebenSonneLichtUndPracht	42.245	23.829	23.782	46.094	37.471	29.963	32.646	45.894	38.55	39.554	21.166
piece_id	Vulpius_ChristusDerIstMeinLeben	37.873	24.691	34.34	56.948	35.483	39.725	36.181	46.243	49.509	51.558	27.565
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36.63	27.551	29.141	46.021	36.729	26.161	35.554	38.776	41.494	45.585	34.316
is_nota_correct	0	37.666	21.0	21.042	45.084	37.5	25.458	33.584	42.542	40.125	39.375	22.75
is_nota_correct	1	27.001	32.833	57.334	47.167	17.665	39.833	34.833	23.501	28.334	43.666	35.499
meta-question_id	1	28.334	18.667	20.334	33.332	23.334	25.333	24.667	34.668	32.0	34.333	21.999
meta-question_id	10	40.954	22.858	28.573	42.382	40.951	23.81	33.811	35.238	32.381	30.952	20.953
meta-question_id	11	28.333	16.667	19.445	30.555	26.667	21.666	28.335	30.555	25.555	31.667	28.889
meta-question_id	2	36.334	22.667	25.333	51.666	23.665	23.0	31.001	42.666	41.334	37.667	19.333
meta-question_id	3	23.333	13.999	22.668	34.667	26.0	20.333	22.334	31.333	24.001	29.667	18.334
meta-question_id	4	44.666	27.001	37.667	51.666	46.001	35.334	35.667	41.332	49.666	43.667	37.333
meta-question_id	5	32.333	24.332	24.999	57.667	40.0	33.334	45.001	46.333	43.668	46.667	18.333
meta-question_id	6	60.334	40.666	56.666	59.334	48.333	48.668	55.334	50.668	56.333	61.999	46.666
meta-question_id	7	37.001	31.0	29.0	47.333	36.667	32.334	41.668	38.666	42.0	46.999	20.666
meta-question_id	8	16.333	11.334	15.664	27.667	19.0	17.335	16.0	28.666	16.666	23.334	11.332
meta-question_id	9	44.285	25.715	27.143	62.38	39.524	25.715	37.144	42.857	48.573	53.334	38.573
category	harmony	38.333	22.0	25.332	45.833	36.169	23.832	33.333	36.501	35.998	38.999	29.501
category	pitch	33.167	20.584	26.501	42.834	29.748	25.999	28.417	37.501	36.75	36.333	24.249
category	rhythm	36.501	26.834	31.583	48.001	36.001	32.916	39.5	41.082	39.666	44.752	24.25
subcategory	harmonic-recognition	38.333	22.0	25.332	45.833	36.169	23.832	33.333	36.501	35.998	38.999	29.501
subcategory	interval-recognition	34.0	20.5	30.165	43.168	36.001	27.833	28.999	36.332	36.833	36.666	27.833
subcategory	pitch-recognition	32.333	20.665	22.834	42.499	23.5	24.166	27.835	38.666	36.667	36.0	20.666
subcategory	proportion-recognition	26.666	21.166	22.334	37.5	27.833	24.831	28.835	33.666	29.335	35.166	16.001
subcategory	rhythmic-recognition	46.333	32.5	40.834	58.499	44.165	41.0	50.168	48.5	50.0	54.334	32.5
skill	cadence recognition	28.333	16.667	19.445	30.555	26.667	21.666	28.335	30.555	25.555	31.667	28.889
skill	chord recognition	40.954	22.858	28.573	42.382	40.951	23.81	33.811	35.238	32.381	30.952	20.953
skill	interval recognition	23.333	13.999	22.668	34.667	26.0	20.333	22.334	31.333	24.001	29.667	18.334
skill	interval statistics	44.666	27.001	37.667	51.666	46.001	35.334	35.667	41.332	49.666	43.667	37.333
