Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	15	33.33	26.67
submodality	audio.mastermix.wav	5	40.0	20.0
submodality	symbolic.abc.txt	5	20.0	20.0
submodality	visual.short.png	5	40.0	40.0
piece_id	Bach_IchStehAnDeinerKrippe	3	33.33	66.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	0.0	0.0
piece_id	Vulpius_ChristusDerIstMeinLeben	6	50.0	16.67
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	33.33	33.33
is_nota_correct	0	12	25.0	8.33
is_nota_correct	1	3	66.67	100.0
meta-question_id	1	3	33.33	33.33
meta-question_id	3	3	0.0	0.0
meta-question_id	5	3	66.67	33.33
meta-question_id	7	3	33.33	66.67
meta-question_id	9	3	33.33	0.0
category	harmony	3	33.33	0.0
category	pitch	6	16.67	16.67
category	rhythm	6	50.0	50.0
subcategory	harmonic-recognition	3	33.33	0.0
subcategory	interval-recognition	3	0.0	0.0
subcategory	pitch-recognition	3	33.33	33.33
subcategory	proportion-recognition	3	33.33	66.67
subcategory	rhythmic-recognition	3	66.67	33.33
skill	interval recognition	3	0.0	0.0
skill	note length	3	66.67	33.33
skill	pitch recognition	3	33.33	33.33
skill	rhythm pattern	3	33.33	66.67
skill	tonality recognition	3	33.33	0.0
rel/abs	absolute	6	50.0	33.33
rel/abs	relative	9	22.22	22.22
specification	harmony-relative	3	33.33	0.0
specification	pitch-absolute	3	33.33	33.33
specification	pitch-relative	3	0.0	0.0
specification	rhythm-absolute	3	66.67	33.33
specification	rhythm-relative	3	33.33	66.67
