Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	47.33	35.67	38.33	36.33	41.0	40.33
submodality	audio.mastermix.wav	100	38.0	36.0	35.0	36.0	32.0	35.0
submodality	symbolic.abc.txt	100	59.0	45.0	52.0	36.0	59.0	45.0
submodality	visual.short.png	100	45.0	26.0	28.0	37.0	32.0	41.0
piece_id	Anonymous_AusMeinesHerzensGrunde	45	33.33	17.78	17.78	33.33	37.78	33.33
piece_id	Bach_IchStehAnDeinerKrippe	27	44.44	25.93	40.74	25.93	29.63	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	36	66.67	58.33	52.78	55.56	47.22	52.78
piece_id	Drese_JesuGehVoran	30	46.67	53.33	36.67	26.67	33.33	46.67
piece_id	Gesius_BefiehlDuDeineWege	39	35.9	28.21	33.33	35.9	38.46	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	39	71.79	61.54	56.41	51.28	46.15	58.97
piece_id	Jan_DuGrosserSchmerzensmann	15	33.33	20.0	40.0	20.0	40.0	20.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	50.0	8.33	25.0	33.33	66.67	33.33
piece_id	Vulpius_ChristusDerIstMeinLeben	27	33.33	18.52	33.33	33.33	37.04	37.04
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30	50.0	36.67	43.33	30.0	46.67	36.67
is_nota_correct	0	240	47.5	35.0	34.17	38.33	47.08	43.75
is_nota_correct	1	60	46.67	38.33	55.0	28.33	16.67	26.67
meta-question_id	1	30	30.0	20.0	33.33	26.67	43.33	26.67
meta-question_id	10	21	38.1	23.81	28.57	28.57	33.33	42.86
meta-question_id	11	18	33.33	27.78	16.67	27.78	38.89	33.33
meta-question_id	2	30	40.0	30.0	36.67	40.0	26.67	36.67
meta-question_id	3	30	50.0	20.0	16.67	30.0	43.33	26.67
meta-question_id	4	30	40.0	30.0	33.33	43.33	53.33	40.0
meta-question_id	5	30	56.67	53.33	43.33	26.67	50.0	43.33
meta-question_id	6	30	83.33	70.0	83.33	73.33	70.0	83.33
meta-question_id	7	30	60.0	50.0	53.33	30.0	33.33	46.67
meta-question_id	8	30	26.67	16.67	26.67	16.67	30.0	13.33
meta-question_id	9	21	57.14	47.62	38.1	57.14	19.05	52.38
category	harmony	60	43.33	33.33	28.33	38.33	30.0	43.33
category	pitch	120	40.0	25.0	30.0	35.0	41.67	32.5
category	rhythm	120	56.67	47.5	51.67	36.67	45.83	46.67
subcategory	harmonic-recognition	60	43.33	33.33	28.33	38.33	30.0	43.33
subcategory	interval-recognition	60	45.0	25.0	25.0	36.67	48.33	33.33
subcategory	pitch-recognition	60	35.0	25.0	35.0	33.33	35.0	31.67
subcategory	proportion-recognition	60	43.33	33.33	40.0	23.33	31.67	30.0
subcategory	rhythmic-recognition	60	70.0	61.67	63.33	50.0	60.0	63.33
skill	cadence recognition	18	33.33	27.78	16.67	27.78	38.89	33.33
skill	chord recognition	21	38.1	23.81	28.57	28.57	33.33	42.86
skill	interval recognition	30	50.0	20.0	16.67	30.0	43.33	26.67
skill	interval statistics	30	40.0	30.0	33.33	43.33	53.33	40.0
skill	note length	30	56.67	53.33	43.33	26.67	50.0	43.33
skill	note length statistics	30	83.33	70.0	83.33	73.33	70.0	83.33
skill	pitch recognition	30	30.0	20.0	33.33	26.67	43.33	26.67
skill	pitch statistics	30	40.0	30.0	36.67	40.0	26.67	36.67
skill	rhythm pattern	30	60.0	50.0	53.33	30.0	33.33	46.67
skill	rhythm pattern statistics	30	26.67	16.67	26.67	16.67	30.0	13.33
skill	tonality recognition	21	57.14	47.62	38.1	57.14	19.05	52.38
rel/abs	absolute	141	50.35	40.43	46.1	39.72	45.39	46.81
rel/abs	relative	159	44.65	31.45	31.45	33.33	37.11	34.59
specification	harmony-absolute	21	38.1	23.81	28.57	28.57	33.33	42.86
specification	harmony-relative	39	46.15	38.46	28.21	43.59	28.21	43.59
specification	pitch-absolute	60	35.0	25.0	35.0	33.33	35.0	31.67
specification	pitch-relative	60	45.0	25.0	25.0	36.67	48.33	33.33
specification	rhythm-absolute	60	70.0	61.67	63.33	50.0	60.0	63.33
specification	rhythm-relative	60	43.33	33.33	40.0	23.33	31.67	30.0
