Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	150	47.33	30.67	26.67	36.0	46.67	27.33	35.33	24.67	25.33	44.67	37.33
submodality	audio.mastermix.wav	50	38.0	22.0	34.0	30.0	40.0	36.0	30.0	22.0	26.0	36.0	38.0
submodality	symbolic.abc.txt	50	56.0	38.0	28.0	44.0	64.0	22.0	42.0	32.0	26.0	60.0	38.0
submodality	visual.short.png	50	48.0	32.0	18.0	34.0	36.0	24.0	34.0	20.0	24.0	38.0	36.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	66.67	33.33	44.44	55.56	77.78	22.22	66.67	33.33	44.44	55.56	22.22
piece_id	Bach_IchStehAnDeinerKrippe	24	45.83	45.83	25.0	45.83	41.67	12.5	37.5	33.33	25.0	58.33	54.17
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	46.67	43.33	36.67	43.33	50.0	36.67	36.67	26.67	33.33	43.33	40.0
piece_id	Gesius_BefiehlDuDeineWege	9	55.56	44.44	22.22	0.0	22.22	11.11	22.22	11.11	44.44	44.44	44.44
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	83.33	66.67	33.33	66.67	83.33	66.67	50.0	33.33	33.33	50.0	50.0
piece_id	Jan_DuGrosserSchmerzensmann	18	33.33	22.22	22.22	11.11	27.78	27.78	16.67	16.67	11.11	22.22	16.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	15	40.0	0.0	13.33	33.33	46.67	40.0	26.67	13.33	0.0	26.67	26.67
piece_id	Vulpius_ChristusDerIstMeinLeben	21	33.33	14.29	9.52	33.33	42.86	19.05	23.81	28.57	4.76	47.62	38.1
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	18	61.11	22.22	38.89	38.89	55.56	27.78	55.56	22.22	50.0	55.56	38.89
is_nota_correct	0	120	45.83	33.33	24.17	34.17	45.83	22.5	36.67	20.83	20.83	49.17	40.83
is_nota_correct	1	30	53.33	20.0	36.67	43.33	50.0	46.67	30.0	40.0	43.33	26.67	23.33
meta-question_id	1	15	46.67	33.33	20.0	33.33	40.0	6.67	33.33	20.0	13.33	33.33	13.33
meta-question_id	10	9	44.44	33.33	11.11	33.33	55.56	22.22	22.22	22.22	22.22	66.67	66.67
meta-question_id	11	9	22.22	11.11	11.11	11.11	0.0	11.11	22.22	0.0	11.11	0.0	11.11
meta-question_id	2	15	60.0	20.0	33.33	53.33	53.33	33.33	46.67	40.0	33.33	53.33	66.67
meta-question_id	3	15	40.0	13.33	26.67	20.0	60.0	46.67	33.33	6.67	6.67	26.67	33.33
meta-question_id	4	15	40.0	53.33	33.33	33.33	33.33	26.67	20.0	26.67	26.67	53.33	33.33
meta-question_id	5	15	53.33	46.67	26.67	60.0	66.67	13.33	33.33	46.67	13.33	60.0	60.0
meta-question_id	6	15	80.0	40.0	46.67	53.33	73.33	33.33	80.0	40.0	66.67	60.0	40.0
meta-question_id	7	15	46.67	46.67	46.67	33.33	46.67	46.67	40.0	33.33	40.0	46.67	33.33
meta-question_id	8	15	33.33	20.0	20.0	26.67	26.67	20.0	20.0	13.33	26.67	33.33	20.0
meta-question_id	9	12	41.67	8.33	0.0	25.0	41.67	33.33	25.0	8.33	8.33	50.0	33.33
category	harmony	30	36.67	16.67	6.67	23.33	33.33	23.33	23.33	10.0	13.33	40.0	36.67
category	pitch	60	46.67	30.0	28.33	35.0	46.67	28.33	33.33	23.33	20.0	41.67	36.67
category	rhythm	60	53.33	38.33	35.0	43.33	53.33	28.33	43.33	33.33	36.67	50.0	38.33
subcategory	harmonic-recognition	30	36.67	16.67	6.67	23.33	33.33	23.33	23.33	10.0	13.33	40.0	36.67
subcategory	interval-recognition	30	40.0	33.33	30.0	26.67	46.67	36.67	26.67	16.67	16.67	40.0	33.33
subcategory	pitch-recognition	30	53.33	26.67	26.67	43.33	46.67	20.0	40.0	30.0	23.33	43.33	40.0
subcategory	proportion-recognition	30	40.0	33.33	33.33	30.0	36.67	33.33	30.0	23.33	33.33	40.0	26.67
subcategory	rhythmic-recognition	30	66.67	43.33	36.67	56.67	70.0	23.33	56.67	43.33	40.0	60.0	50.0
skill	cadence recognition	9	22.22	11.11	11.11	11.11	0.0	11.11	22.22	0.0	11.11	0.0	11.11
skill	chord recognition	9	44.44	33.33	11.11	33.33	55.56	22.22	22.22	22.22	22.22	66.67	66.67
skill	interval recognition	15	40.0	13.33	26.67	20.0	60.0	46.67	33.33	6.67	6.67	26.67	33.33
skill	interval statistics	15	40.0	53.33	33.33	33.33	33.33	26.67	20.0	26.67	26.67	53.33	33.33
skill	note length	15	53.33	46.67	26.67	60.0	66.67	13.33	33.33	46.67	13.33	60.0	60.0
skill	note length statistics	15	80.0	40.0	46.67	53.33	73.33	33.33	80.0	40.0	66.67	60.0	40.0
skill	pitch recognition	15	46.67	33.33	20.0	33.33	40.0	6.67	33.33	20.0	13.33	33.33	13.33
skill	pitch statistics	15	60.0	20.0	33.33	53.33	53.33	33.33	46.67	40.0	33.33	53.33	66.67
skill	rhythm pattern	15	46.67	46.67	46.67	33.33	46.67	46.67	40.0	33.33	40.0	46.67	33.33
skill	rhythm pattern statistics	15	33.33	20.0	20.0	26.67	26.67	20.0	20.0	13.33	26.67	33.33	20.0
skill	tonality recognition	12	41.67	8.33	0.0	25.0	41.67	33.33	25.0	8.33	8.33	50.0	33.33
rel/abs	absolute	69	57.97	34.78	28.99	47.83	57.97	21.74	44.93	34.78	30.43	53.62	47.83
rel/abs	relative	81	38.27	27.16	24.69	25.93	37.04	32.1	27.16	16.05	20.99	37.04	28.4
specification	harmony-absolute	9	44.44	33.33	11.11	33.33	55.56	22.22	22.22	22.22	22.22	66.67	66.67
specification	harmony-relative	21	33.33	9.52	4.76	19.05	23.81	23.81	23.81	4.76	9.52	28.57	23.81
specification	pitch-absolute	30	53.33	26.67	26.67	43.33	46.67	20.0	40.0	30.0	23.33	43.33	40.0
specification	pitch-relative	30	40.0	33.33	30.0	26.67	46.67	36.67	26.67	16.67	16.67	40.0	33.33
specification	rhythm-absolute	30	66.67	43.33	36.67	56.67	70.0	23.33	56.67	43.33	40.0	60.0	50.0
specification	rhythm-relative	30	40.0	33.33	33.33	30.0	36.67	33.33	30.0	23.33	33.33	40.0	26.67
