Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
aggregate-mistral	OVERALL	ALL	32.644	1.11	0.106	0.064	71932.77	24.026
aggregate-mistral	submodality	audio.mastermix.wav	30.047	1.8767	0.306	0.0	18734.97	15.9078
aggregate-mistral	submodality	symbolic.musicxml	36.56	2.1503	0.0	0.122	31389.42	7.6618
aggregate-mistral	submodality	visual.short.png	31.394	1.4827	0.0	0.078	21808.38	0.4563
aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	35.333	5.4234	0.133	0.0	8446.91	3.3553
aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	31.354	4.0348	0.0	0.0	7221.53	2.5717
aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	35.449	4.6607	0.0	0.143	7775.31	2.5556
aggregate-mistral	piece_id	Drese_JesuGehVoran	33.471	4.3666	0.112	0.204	6816.33	2.1153
aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	32.765	5.1564	0.164	0.109	8031.87	2.6108
aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	30.433	4.9267	0.0	0.0	6195.04	2.1589
aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	33.73	3.7738	0.132	0.156	8295.15	2.5872
aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	31.961	2.969	0.258	0.0	7812.8	3.232
aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	31.722	3.3705	0.0	0.0	5748.3	1.6129
aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30.993	3.9599	0.293	0.0	5589.57	1.2263
aggregate-mistral	is_nota_correct	0	33.433	1.0611	0.118	0.066	56653.62	19.0738
aggregate-mistral	is_nota_correct	1	29.444	3.9868	0.067	0.065	15279.15	4.9522
aggregate-mistral	meta-question_id	0	22.389	5.3219	0.0	0.0	5351.04	1.946
aggregate-mistral	meta-question_id	1	50.134	6.1586	0.233	0.0	6589.85	2.0428
aggregate-mistral	meta-question_id	2	23.472	6.5827	0.547	0.0	5456.08	1.9661
aggregate-mistral	meta-question_id	3	51.636	7.9943	0.233	0.0	10789.99	2.1149
aggregate-mistral	meta-question_id	4	34.975	3.6499	0.078	0.146	10858.21	3.9577
aggregate-mistral	meta-question_id	5	53.652	8.9399	0.0	0.0	1659.31	0.7654
aggregate-mistral	meta-question_id	6	9.062	1.9379	0.0	0.0	8500.67	3.2433
aggregate-mistral	meta-question_id	7	28.516	4.7916	0.0	0.0	4449.48	1.9918
aggregate-mistral	meta-question_id	8	43.255	3.3611	0.096	0.256	11975.15	4.0006
aggregate-mistral	meta-question_id	9	24.795	5.8568	0.0	0.0	6302.94	1.9975
aggregate-mistral	category	harmony	34.904	2.6495	0.043	0.111	22727.57	7.9898
aggregate-mistral	category	pitch	36.853	2.5989	0.256	0.0	28186.98	8.0698
aggregate-mistral	category	rhythm	26.208	1.9313	0.036	0.066	21018.22	7.9663
aggregate-mistral	subcategory	harmony-absolute	43.255	3.3611	0.096	0.256	11975.15	4.0006
aggregate-mistral	subcategory	harmony-relative	26.666	4.2429	0.0	0.0	10752.39	3.9892
aggregate-mistral	subcategory	pitch-absolute	36.285	4.1166	0.082	0.0	11940.9	3.9888
aggregate-mistral	subcategory	pitch-relative	37.429	3.6264	0.445	0.0	16246.09	4.081
aggregate-mistral	subcategory	rhythm-absolute	34.975	3.6499	0.078	0.146	10858.21	3.9577
aggregate-mistral	subcategory	rhythm-relative	17.655	1.5717	0.0	0.0	10160.0	4.0086
aggregate-mistral	skill	cadence recognition	24.795	5.8568	0.0	0.0	6302.94	1.9975
aggregate-mistral	skill	chord recognition	43.255	3.3611	0.096	0.256	11975.15	4.0006
aggregate-mistral	skill	interval recognition	23.472	6.5827	0.547	0.0	5456.08	1.9661
aggregate-mistral	skill	interval statistics	51.636	7.9943	0.233	0.0	10789.99	2.1149
aggregate-mistral	skill	note length	34.975	3.6499	0.078	0.146	10858.21	3.9577
aggregate-mistral	skill	pitch recognition	22.389	5.3219	0.0	0.0	5351.04	1.946
aggregate-mistral	skill	pitch statistics	50.134	6.1586	0.233	0.0	6589.85	2.0428
aggregate-mistral	skill	rhythm pattern	9.062	1.9379	0.0	0.0	8500.67	3.2433
aggregate-mistral	skill	time signature	53.652	8.9399	0.0	0.0	1659.31	0.7654
aggregate-mistral	skill	tonality recognition	28.516	4.7916	0.0	0.0	4449.48	1.9918
aggregate-mistral	rel/abs	absolute	38.148	1.1269	0.087	0.145	34774.29	11.9471
aggregate-mistral	rel/abs	relative	27.21	1.8262	0.124	0.0	37158.48	12.0789
