Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	15	0.0	13.33	33.33
submodality	audio.mastermix.wav	5	0.0	0.0	0.0
submodality	symbolic.abc.txt	5	0.0	20.0	60.0
submodality	visual.short.png	5	0.0	20.0	40.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	6	0.0	16.67	33.33
piece_id	Gesius_BefiehlDuDeineWege	6	0.0	16.67	50.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	0.0	0.0	0.0
is_nota_correct	0	12	0.0	8.33	33.33
is_nota_correct	1	3	0.0	33.33	33.33
meta-question_id	1	3	0.0	33.33	66.67
meta-question_id	3	3	0.0	0.0	33.33
meta-question_id	5	3	0.0	0.0	0.0
meta-question_id	7	3	0.0	0.0	33.33
meta-question_id	9	3	0.0	33.33	33.33
category	harmony	3	0.0	33.33	33.33
category	pitch	6	0.0	16.67	50.0
category	rhythm	6	0.0	0.0	16.67
subcategory	harmonic-recognition	3	0.0	33.33	33.33
subcategory	interval-recognition	3	0.0	0.0	33.33
subcategory	pitch-recognition	3	0.0	33.33	66.67
subcategory	proportion-recognition	3	0.0	0.0	33.33
subcategory	rhythmic-recognition	3	0.0	0.0	0.0
skill	interval recognition	3	0.0	0.0	33.33
skill	note length	3	0.0	0.0	0.0
skill	pitch recognition	3	0.0	33.33	66.67
skill	rhythm pattern	3	0.0	0.0	33.33
skill	tonality recognition	3	0.0	33.33	33.33
rel/abs	absolute	6	0.0	16.67	33.33
rel/abs	relative	9	0.0	11.11	33.33
specification	harmony-relative	3	0.0	33.33	33.33
specification	pitch-absolute	3	0.0	33.33	66.67
specification	pitch-relative	3	0.0	0.0	33.33
specification	rhythm-absolute	3	0.0	0.0	0.0
specification	rhythm-relative	3	0.0	0.0	33.33
