Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
OVERALL	ALL	28.3	0.926	0.0	10007.7	0.8906	28.333	0.139	0.0	11834.22	3.8263
submodality	audio.mastermix.wav	30.4	2.169	0.0	4305.5	0.1343	32.0	0.0	0.0	4028.7	0.8942
submodality	symbolic.abc.txt	29.1	0.0	0.0	3030.24	0.6368	28.1	0.411	0.0	4461.69	2.4849
submodality	visual.short.png	25.4	0.655	0.0	2671.97	0.1195	24.9	0.0	0.0	3343.84	0.4472
piece_id	Anonymous_AusMeinesHerzensGrunde	22.235	0.0	0.0	1115.56	0.098	18.837	0.0	0.0	1364.29	0.4205
piece_id	Bach_IchStehAnDeinerKrippe	31.008	0.4	0.0	980.88	0.0875	24.975	0.0	0.0	1184.64	0.3787
piece_id	Crueger_AufAufMeinHerzMitFreuden	27.716	0.958	0.0	1038.35	0.0918	32.69	0.0	0.0	1186.31	0.4017
piece_id	Drese_JesuGehVoran	30.763	1.143	0.0	918.94	0.0845	27.054	0.0	0.0	1098.44	0.3458
piece_id	Gesius_BefiehlDuDeineWege	30.348	0.78	0.0	1014.99	0.0906	24.762	0.333	0.0	1120.76	0.3788
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	27.776	0.4	0.0	852.99	0.0761	34.019	0.345	0.0	1021.87	0.3277
piece_id	Jan_DuGrosserSchmerzensmann	25.971	1.555	0.0	1124.73	0.0988	28.439	0.323	0.0	1365.91	0.4338
piece_id	Telemann_DerLiebenSonneLichtUndPracht	23.782	2.273	0.0	976.34	0.0865	29.963	0.0	0.0	1155.0	0.3786
piece_id	Vulpius_ChristusDerIstMeinLeben	34.34	0.417	0.0	863.0	0.0797	39.725	0.0	0.0	1034.35	0.3439
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	29.141	0.952	0.0	1121.92	0.0972	26.161	0.0	0.0	1302.63	0.4168
is_nota_correct	0	21.042	0.794	0.0	7978.96	0.7142	25.458	0.167	0.0	9491.52	3.064
