Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	44.8	0.0	0.0	2665.78	0.74106	32.27	2.36	0.39	5896.65	1.189705	40.8	0.0	0.0	16107.4	0.0	36.53	0.0	0.0	2355.74	0.10575
submodality	audio.mastermix.wav	250	31.6	0.0	0.0	839.6	0.181133	27.6	0.0	1.1	1566.56	1.062824	29.6	0.0	0.0	3261.78	0.0	28.8	0.0	0.0	969.17	0.026178
submodality	symbolic.abc.txt	250	60.8	0.0	0.0	931.86	0.292336	41.2	0.0	0.0	1288.59	0.048241	62.8	0.0	0.0	8715.56	0.0	46.4	0.0	0.0	814.81	0.046283
submodality	visual.short.png	250	42.0	0.0	0.0	894.32	0.267591	28.0	6.67	0.0	3041.51	0.07864	30.0	0.0	0.0	4130.06	0.0	34.4	0.0	0.0	571.77	0.033289
piece_id	Anonymous_AusMeinesHerzensGrunde	78	47.44	0.0	0.0	305.83	0.084534	37.18	4.08	0.0	645.63	0.167578	50.0	0.0	0.0	2033.97	0.0	47.44	0.0	0.0	258.9	0.012375
piece_id	Bach_IchStehAnDeinerKrippe	66	33.33	0.0	0.0	245.41	0.06641	37.88	0.0	0.0	330.37	0.107666	36.36	0.0	0.0	1410.26	0.0	42.42	0.0	0.0	219.81	0.009547
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	44.44	0.0	0.0	318.29	0.096311	28.89	1.56	1.56	714.32	0.158547	43.33	0.0	0.0	2167.76	0.0	31.11	0.0	0.0	308.08	0.014998
piece_id	Drese_JesuGehVoran	51	52.94	0.0	0.0	174.65	0.042548	29.41	2.78	0.0	326.41	0.062648	37.25	0.0	0.0	1068.6	0.0	49.02	0.0	0.0	143.55	0.005861
piece_id	Gesius_BefiehlDuDeineWege	99	46.46	0.0	0.0	367.59	0.104207	33.33	1.52	0.0	476.94	0.1651	42.42	0.0	0.0	1872.85	0.0	29.29	0.0	0.0	319.86	0.014694
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	81	51.85	0.0	0.0	276.45	0.073201	28.4	3.45	0.0	863.96	0.116977	34.57	0.0	0.0	1840.1	0.0	33.33	0.0	0.0	241.99	0.0107
piece_id	Jan_DuGrosserSchmerzensmann	87	33.33	0.0	0.0	298.7	0.087351	34.48	0.0	0.0	635.63	0.137181	34.48	0.0	0.0	2115.57	0.0	34.48	0.0	0.0	283.08	0.013299
piece_id	Telemann_DerLiebenSonneLichtUndPracht	72	48.61	0.0	0.0	267.51	0.080253	37.5	6.67	2.22	840.65	0.154214	44.44	0.0	0.0	1580.3	0.0	30.56	0.0	0.0	234.8	0.010325
