Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	44.8	32.27	40.8	36.53
submodality	audio.mastermix.wav	250	31.6	27.6	29.6	28.8
submodality	symbolic.abc.txt	250	60.8	41.2	62.8	46.4
submodality	visual.short.png	250	42.0	28.0	30.0	34.4
piece_id	Anonymous_AusMeinesHerzensGrunde	78	47.44	37.18	50.0	47.44
piece_id	Bach_IchStehAnDeinerKrippe	66	33.33	37.88	36.36	42.42
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	44.44	28.89	43.33	31.11
piece_id	Drese_JesuGehVoran	51	52.94	29.41	37.25	49.02
piece_id	Gesius_BefiehlDuDeineWege	99	46.46	33.33	42.42	29.29
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	81	51.85	28.4	34.57	33.33
piece_id	Jan_DuGrosserSchmerzensmann	87	33.33	34.48	34.48	34.48
piece_id	Telemann_DerLiebenSonneLichtUndPracht	72	48.61	37.5	44.44	30.56
piece_id	Vulpius_ChristusDerIstMeinLeben	63	44.44	17.46	38.1	34.92
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	47.62	36.51	46.03	41.27
is_nota_correct	0	600	44.83	33.33	39.83	39.0
is_nota_correct	1	150	44.67	28.0	44.67	26.67
meta-question_id	1	75	32.0	25.33	34.67	32.0
meta-question_id	10	51	56.86	29.41	27.45	23.53
meta-question_id	11	48	33.33	18.75	27.08	35.42
meta-question_id	2	75	45.33	18.67	45.33	37.33
meta-question_id	3	75	28.0	18.67	24.0	25.33
meta-question_id	4	75	56.0	28.0	52.0	46.67
meta-question_id	5	75	60.0	45.33	44.0	38.67
meta-question_id	6	75	54.67	58.67	70.67	65.33
meta-question_id	7	75	48.0	48.0	44.0	38.67
meta-question_id	8	75	21.33	17.33	25.33	10.67
meta-question_id	9	51	62.75	45.1	47.06	47.06
category	harmony	150	51.33	31.33	34.0	35.33
category	pitch	300	40.33	22.67	39.0	35.33
category	rhythm	300	46.0	42.33	46.0	38.33
subcategory	harmonic-recognition	150	51.33	31.33	34.0	35.33
subcategory	interval-recognition	150	42.0	23.33	38.0	36.0
subcategory	pitch-recognition	150	38.67	22.0	40.0	34.67
subcategory	proportion-recognition	150	34.67	32.67	34.67	24.67
subcategory	rhythmic-recognition	150	57.33	52.0	57.33	52.0
skill	cadence recognition	48	33.33	18.75	27.08	35.42
skill	chord recognition	51	56.86	29.41	27.45	23.53
skill	interval recognition	75	28.0	18.67	24.0	25.33
skill	interval statistics	75	56.0	28.0	52.0	46.67
skill	note length	75	60.0	45.33	44.0	38.67
skill	note length statistics	75	54.67	58.67	70.67	65.33
skill	pitch recognition	75	32.0	25.33	34.67	32.0
skill	pitch statistics	75	45.33	18.67	45.33	37.33
skill	rhythm pattern	75	48.0	48.0	44.0	38.67
skill	rhythm pattern statistics	75	21.33	17.33	25.33	10.67
skill	tonality recognition	51	62.75	45.1	47.06	47.06
rel/abs	absolute	351	49.29	35.9	45.58	40.46
rel/abs	relative	399	40.85	29.07	36.59	33.08
specification	harmony-absolute	51	56.86	29.41	27.45	23.53
specification	harmony-relative	99	48.48	32.32	37.37	41.41
specification	pitch-absolute	150	38.67	22.0	40.0	34.67
specification	pitch-relative	150	42.0	23.33	38.0	36.0
specification	rhythm-absolute	150	57.33	52.0	57.33	52.0
specification	rhythm-relative	150	34.67	32.67	34.67	24.67
