Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	43.33	0.0	0.0	2564.23	0.73595	33.87	2.22	0.2	10580.03	1.25784	41.73	0.0	0.0	15193.01	0.0	36.13	0.0	0.0	2385.7	0.10386
submodality	audio.mastermix.wav	250	31.6	0.0	0.0	779.21	0.177637	29.2	0.56	0.56	3273.73	1.037187	32.8	0.0	0.0	2857.93	0.0	29.6	0.0	0.0	974.18	0.025261
submodality	symbolic.abc.txt	250	60.0	0.0	0.0	892.43	0.288811	44.0	0.0	0.0	2554.39	0.085576	60.8	0.0	0.0	8610.05	0.0	39.2	0.0	0.0	807.12	0.04459
submodality	visual.short.png	250	38.4	0.0	0.0	892.59	0.269502	28.4	5.59	0.0	4751.91	0.135078	31.6	0.0	0.0	3725.03	0.0	39.6	0.0	0.0	604.41	0.03401
piece_id	Anonymous_AusMeinesHerzensGrunde	69	39.13	0.0	0.0	261.38	0.076379	33.33	0.0	0.0	1330.42	0.167728	55.07	0.0	0.0	1789.43	0.0	36.23	0.0	0.0	256.35	0.012159
piece_id	Bach_IchStehAnDeinerKrippe	72	37.5	0.0	0.0	246.17	0.071458	27.78	3.85	0.0	954.69	0.124485	36.11	0.0	0.0	1383.38	0.0	34.72	0.0	0.0	220.81	0.009328
piece_id	Crueger_AufAufMeinHerzMitFreuden	96	37.5	0.0	0.0	348.28	0.102422	39.58	0.0	0.0	1640.79	0.196188	35.42	0.0	0.0	2387.83	0.0	32.29	0.0	0.0	300.6	0.014546
piece_id	Drese_JesuGehVoran	69	46.38	0.0	0.0	225.31	0.062402	33.33	0.0	0.0	379.77	0.082255	39.13	0.0	0.0	1062.39	0.0	43.48	0.0	0.0	239.68	0.009171
piece_id	Gesius_BefiehlDuDeineWege	48	47.92	0.0	0.0	162.55	0.046973	31.25	3.03	0.0	871.89	0.101098	35.42	0.0	0.0	974.35	0.0	27.08	0.0	0.0	159.58	0.006566
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	81	45.68	0.0	0.0	261.4	0.07751	34.57	1.89	0.0	823.82	0.116102	45.68	0.0	0.0	1541.17	0.0	27.16	0.0	0.0	236.81	0.010747
piece_id	Jan_DuGrosserSchmerzensmann	78	42.31	0.0	0.0	263.72	0.077965	24.36	1.69	0.0	1530.54	0.145421	29.49	0.0	0.0	1665.1	0.0	24.36	0.0	0.0	241.83	0.011294
piece_id	Telemann_DerLiebenSonneLichtUndPracht	66	50.0	0.0	0.0	227.97	0.068962	42.42	2.63	0.0	848.06	0.149064	45.45	0.0	0.0	1382.64	0.0	42.42	0.0	0.0	227.18	0.009951
piece_id	Vulpius_ChristusDerIstMeinLeben	105	46.67	0.0	0.0	352.34	0.092905	36.19	5.97	1.49	1634.77	0.125588	40.95	0.0	0.0	2092.2	0.0	43.81	0.0	0.0	315.17	0.012743
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	66	42.42	0.0	0.0	215.12	0.058974	33.33	2.27	0.0	565.3	0.049911	57.58	0.0	0.0	914.52	0.0	48.48	0.0	0.0	187.7	0.007355
is_nota_correct	0	600	42.0	0.0	0.0	2064.26	0.592044	32.83	2.23	0.25	9152.98	1.030052	39.33	0.0	0.0	12005.19	0.0	37.17	0.0	0.0	1905.66	0.083245
is_nota_correct	1	150	48.67	0.0	0.0	499.97	0.143906	38.0	2.15	0.0	1427.05	0.227788	51.33	0.0	0.0	3187.82	0.0	32.0	0.0	0.0	480.04	0.020615
meta-question_id	1	75	37.33	0.0	0.0	240.78	0.07324	33.33	0.0	0.0	1207.98	0.131475	40.0	0.0	0.0	1420.01	0.0	25.33	0.0	0.0	222.37	0.010064
meta-question_id	10	51	54.9	0.0	0.0	168.15	0.046086	23.53	2.56	0.0	502.77	0.082558	37.25	0.0	0.0	1067.53	0.0	35.29	0.0	0.0	156.66	0.007174
meta-question_id	11	48	18.75	0.0	0.0	167.91	0.044218	29.17	2.94	0.0	352.31	0.068054	43.75	0.0	0.0	875.66	0.0	27.08	0.0	0.0	137.83	0.006159
meta-question_id	2	75	40.0	0.0	0.0	261.29	0.07382	22.67	5.17	0.0	1109.35	0.130796	41.33	0.0	0.0	990.2	0.0	33.33	0.0	0.0	231.95	0.009715
