Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	25.6	26.0
submodality	audio.mastermix.wav	250	29.2	30.4
submodality	symbolic.abc.txt	250	26.4	27.6
submodality	visual.short.png	250	21.2	20.0
piece_id	Anonymous_AusMeinesHerzensGrunde	102	25.49	23.53
piece_id	Bach_IchStehAnDeinerKrippe	66	16.67	21.21
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	22.22	23.33
piece_id	Drese_JesuGehVoran	66	34.85	25.76
piece_id	Gesius_BefiehlDuDeineWege	72	29.17	26.39
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	63	30.16	31.75
piece_id	Jan_DuGrosserSchmerzensmann	78	21.79	16.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	96	34.38	38.54
piece_id	Vulpius_ChristusDerIstMeinLeben	54	14.81	29.63
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	22.22	22.22
is_nota_correct	0	600	22.83	20.33
is_nota_correct	1	150	36.67	48.67
meta-question_id	1	75	18.67	21.33
meta-question_id	10	51	25.49	29.41
meta-question_id	11	48	18.75	14.58
meta-question_id	2	75	28.0	21.33
meta-question_id	3	75	20.0	20.0
meta-question_id	4	75	28.0	38.67
meta-question_id	5	75	37.33	28.0
meta-question_id	6	75	41.33	49.33
meta-question_id	7	75	33.33	30.67
meta-question_id	8	75	8.0	4.0
meta-question_id	9	51	17.65	25.49
category	harmony	150	20.67	23.33
category	pitch	300	23.67	25.33
category	rhythm	300	30.0	28.0
subcategory	harmonic-recognition	150	20.67	23.33
subcategory	interval-recognition	150	24.0	29.33
subcategory	pitch-recognition	150	23.33	21.33
subcategory	proportion-recognition	150	20.67	17.33
subcategory	rhythmic-recognition	150	39.33	38.67
skill	cadence recognition	48	18.75	14.58
skill	chord recognition	51	25.49	29.41
skill	interval recognition	75	20.0	20.0
skill	interval statistics	75	28.0	38.67
skill	note length	75	37.33	28.0
skill	note length statistics	75	41.33	49.33
skill	pitch recognition	75	18.67	21.33
skill	pitch statistics	75	28.0	21.33
skill	rhythm pattern	75	33.33	30.67
skill	rhythm pattern statistics	75	8.0	4.0
skill	tonality recognition	51	17.65	25.49
rel/abs	absolute	351	30.48	29.91
rel/abs	relative	399	21.3	22.56
specification	harmony-absolute	51	25.49	29.41
specification	harmony-relative	99	18.18	20.2
specification	pitch-absolute	150	23.33	21.33
specification	pitch-relative	150	24.0	29.33
specification	rhythm-absolute	150	39.33	38.67
specification	rhythm-relative	150	20.67	17.33
