Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	75	52.0	34.67	54.67	38.67	44.0	45.33
submodality	audio.mastermix.wav	25	40.0	24.0	44.0	20.0	40.0	28.0
submodality	symbolic.abc.txt	25	72.0	44.0	68.0	44.0	60.0	60.0
submodality	visual.short.png	25	44.0	36.0	52.0	52.0	32.0	48.0
piece_id	Anonymous_AusMeinesHerzensGrunde	18	44.44	16.67	44.44	16.67	38.89	27.78
piece_id	Bach_IchStehAnDeinerKrippe	3	66.67	33.33	66.67	33.33	33.33	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	6	83.33	33.33	66.67	33.33	50.0	50.0
piece_id	Drese_JesuGehVoran	3	33.33	0.0	66.67	0.0	0.0	33.33
piece_id	Gesius_BefiehlDuDeineWege	12	41.67	16.67	25.0	25.0	75.0	41.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	66.67	83.33	100.0	50.0	16.67	66.67
piece_id	Jan_DuGrosserSchmerzensmann	6	66.67	83.33	66.67	66.67	50.0	50.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	100.0	33.33	66.67	100.0	66.67	100.0
piece_id	Vulpius_ChristusDerIstMeinLeben	3	33.33	0.0	33.33	66.67	33.33	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	15	40.0	46.67	60.0	53.33	40.0	53.33
is_nota_correct	0	60	56.67	35.0	56.67	43.33	45.0	46.67
is_nota_correct	1	15	33.33	33.33	46.67	20.0	40.0	40.0
meta-question_id	1	9	33.33	22.22	55.56	11.11	33.33	33.33
meta-question_id	10	6	33.33	33.33	16.67	66.67	66.67	50.0
meta-question_id	11	3	33.33	33.33	33.33	33.33	66.67	66.67
meta-question_id	2	6	66.67	50.0	66.67	16.67	50.0	33.33
meta-question_id	3	9	33.33	11.11	33.33	33.33	55.56	33.33
meta-question_id	4	6	66.67	50.0	50.0	66.67	33.33	50.0
meta-question_id	5	9	44.44	44.44	66.67	44.44	33.33	22.22
meta-question_id	6	6	50.0	0.0	33.33	16.67	66.67	16.67
meta-question_id	7	9	55.56	22.22	55.56	11.11	22.22	44.44
meta-question_id	8	6	83.33	83.33	100.0	66.67	16.67	83.33
meta-question_id	9	6	83.33	50.0	83.33	83.33	66.67	100.0
category	harmony	15	53.33	40.0	46.67	66.67	66.67	73.33
category	pitch	30	46.67	30.0	50.0	30.0	43.33	36.67
category	rhythm	30	56.67	36.67	63.33	33.33	33.33	40.0
subcategory	harmonic-recognition	15	53.33	40.0	46.67	66.67	66.67	73.33
subcategory	interval-recognition	15	46.67	26.67	40.0	46.67	46.67	40.0
subcategory	pitch-recognition	15	46.67	33.33	60.0	13.33	40.0	33.33
subcategory	proportion-recognition	15	66.67	46.67	73.33	33.33	20.0	60.0
subcategory	rhythmic-recognition	15	46.67	26.67	53.33	33.33	46.67	20.0
skill	cadence recognition	3	33.33	33.33	33.33	33.33	66.67	66.67
skill	chord recognition	6	33.33	33.33	16.67	66.67	66.67	50.0
skill	interval recognition	9	33.33	11.11	33.33	33.33	55.56	33.33
skill	interval statistics	6	66.67	50.0	50.0	66.67	33.33	50.0
skill	note length	9	44.44	44.44	66.67	44.44	33.33	22.22
skill	note length statistics	6	50.0	0.0	33.33	16.67	66.67	16.67
skill	pitch recognition	9	33.33	22.22	55.56	11.11	33.33	33.33
skill	pitch statistics	6	66.67	50.0	66.67	16.67	50.0	33.33
skill	rhythm pattern	9	55.56	22.22	55.56	11.11	22.22	44.44
skill	rhythm pattern statistics	6	83.33	83.33	100.0	66.67	16.67	83.33
skill	tonality recognition	6	83.33	50.0	83.33	83.33	66.67	100.0
rel/abs	absolute	36	44.44	30.56	50.0	30.56	47.22	30.56
rel/abs	relative	39	58.97	38.46	58.97	46.15	41.03	58.97
specification	harmony-absolute	6	33.33	33.33	16.67	66.67	66.67	50.0
specification	harmony-relative	9	66.67	44.44	66.67	66.67	66.67	88.89
specification	pitch-absolute	15	46.67	33.33	60.0	13.33	40.0	33.33
specification	pitch-relative	15	46.67	26.67	40.0	46.67	46.67	40.0
specification	rhythm-absolute	15	46.67	26.67	53.33	33.33	46.67	20.0
specification	rhythm-relative	15	66.67	46.67	73.33	33.33	20.0	60.0
