Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	35.243	1.9875	0.0	0.209	24606.34	1.6205
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	34.377	5.2467	0.0	0.0	2779.0	0.0748
google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	38.664	4.5545	0.0	0.196	8162.34	1.4552
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	32.627	5.0954	0.0	0.396	13664.97	0.0904
google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	30.244	14.9028	0.0	0.0	824.91	0.2315
google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	39.698	17.2044	0.0	0.0	659.38	0.1708
google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	31.594	13.8238	0.0	0.0	656.03	0.1739
google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	39.564	12.3488	0.0	0.526	6647.4	0.1361
google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	37.579	12.2348	0.0	0.769	6682.02	0.181
google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	45.038	12.0516	0.0	0.0	619.5	0.1486
google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	31.307	11.304	0.0	1.111	6748.21	0.1911
google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	35.29	14.1826	0.0	0.0	619.96	0.1663
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	32.469	16.1011	0.0	0.0	623.88	0.1169
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	28.07	12.8197	0.0	0.0	525.07	0.1043
google/gemini-2.0-flash-lite-001	is_nota_correct	0	37.0	2.0657	0.0	0.174	17329.14	1.296
google/gemini-2.0-flash-lite-001	is_nota_correct	1	28.155	5.132	0.0	0.357	7277.19	0.3245
google/gemini-2.0-flash-lite-001	meta-question_id	0	21.886	9.0749	0.0	0.0	541.97	0.1265
google/gemini-2.0-flash-lite-001	meta-question_id	1	54.266	15.0656	0.0	0.0	514.04	0.1425
google/gemini-2.0-flash-lite-001	meta-question_id	2	17.872	9.9448	0.0	0.0	622.79	0.1416
google/gemini-2.0-flash-lite-001	meta-question_id	3	65.227	11.0845	0.0	1.429	6681.39	0.1488
google/gemini-2.0-flash-lite-001	meta-question_id	4	27.164	8.0592	0.0	0.0	1051.74	0.2798
google/gemini-2.0-flash-lite-001	meta-question_id	5	59.616	12.4755	0.0	1.111	6419.6	0.1263
google/gemini-2.0-flash-lite-001	meta-question_id	6	13.545	6.495	0.0	0.0	607.13	0.1404
google/gemini-2.0-flash-lite-001	meta-question_id	7	30.933	8.401	0.0	0.909	6477.05	0.1246
google/gemini-2.0-flash-lite-001	meta-question_id	8	41.422	7.3301	0.0	0.0	1143.57	0.2582
google/gemini-2.0-flash-lite-001	meta-question_id	9	24.497	12.9676	0.0	0.0	547.08	0.1317
google/gemini-2.0-flash-lite-001	category	harmony	34.571	5.5899	0.0	0.222	8167.69	0.5146
google/gemini-2.0-flash-lite-001	category	pitch	39.527	3.8853	0.0	0.213	8360.18	0.5595
google/gemini-2.0-flash-lite-001	category	rhythm	31.55	4.7084	0.0	0.2	8078.45	0.5464
google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	41.422	7.3301	0.0	0.0	1143.57	0.2582
google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	27.686	6.8159	0.0	0.435	7024.11	0.2563
google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	37.832	7.2887	0.0	0.0	1056.02	0.2691
google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	41.045	6.4403	0.0	0.4	7304.19	0.2904
google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	27.164	8.0592	0.0	0.0	1051.74	0.2798
google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	35.95	6.2114	0.0	0.4	7026.69	0.2667
google/gemini-2.0-flash-lite-001	skill	cadence recognition	24.497	12.9676	0.0	0.0	547.08	0.1317
google/gemini-2.0-flash-lite-001	skill	chord recognition	41.422	7.3301	0.0	0.0	1143.57	0.2582
google/gemini-2.0-flash-lite-001	skill	interval recognition	17.872	9.9448	0.0	0.0	622.79	0.1416
google/gemini-2.0-flash-lite-001	skill	interval statistics	65.227	11.0845	0.0	1.429	6681.39	0.1488
google/gemini-2.0-flash-lite-001	skill	note length	27.164	8.0592	0.0	0.0	1051.74	0.2798
google/gemini-2.0-flash-lite-001	skill	pitch recognition	21.886	9.0749	0.0	0.0	541.97	0.1265
google/gemini-2.0-flash-lite-001	skill	pitch statistics	54.266	15.0656	0.0	0.0	514.04	0.1425
google/gemini-2.0-flash-lite-001	skill	rhythm pattern	13.545	6.495	0.0	0.0	607.13	0.1404
google/gemini-2.0-flash-lite-001	skill	time signature	59.616	12.4755	0.0	1.111	6419.6	0.1263
google/gemini-2.0-flash-lite-001	skill	tonality recognition	30.933	8.401	0.0	0.909	6477.05	0.1246
google/gemini-2.0-flash-lite-001	rel/abs	absolute	35.543	5.0857	0.0	0.0	3251.3	0.8071
google/gemini-2.0-flash-lite-001	rel/abs	relative	34.93	3.4977	0.0	0.419	21355.02	0.8134
