Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
text-only-google/gemini-2.0-flash-lite-001	OVERALL	ALL	26.464	2.9087	11.89	0.361	30064.27	0.1923
text-only-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	28.293	2.7355	3.381	0.204	7681.96	0.0577
text-only-google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	26.233	4.6601	15.871	0.331	8272.74	0.0718
text-only-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	24.898	5.1331	15.809	0.531	14109.58	0.0628
text-only-google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	31.743	10.8534	9.147	0.0	627.73	0.0225
text-only-google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	29.281	9.4146	12.104	0.625	837.83	0.0186
text-only-google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	25.577	11.0998	10.478	1.255	6833.41	0.0187
text-only-google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	23.9	6.3783	11.691	0.333	6527.88	0.0181
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	32.759	12.2146	8.887	0.0	606.77	0.0209
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	31.804	12.0254	8.307	0.0	494.28	0.0177
text-only-google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	27.909	14.4441	13.658	0.0	587.02	0.021
text-only-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	17.63	9.7437	12.976	0.588	6464.12	0.0165
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	29.667	12.3185	17.192	0.0	551.41	0.0195
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	19.103	7.235	14.83	0.455	6533.85	0.0189
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	0	22.777	2.4845	11.692	0.357	22932.89	0.1517
