Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price
OVERALL	ALL	75	40.0	0.0	0.0	257.04	0.074983	44.0	0.0	0.0	701.65	0.125918	42.67	0.0	0.0	1351.01	0.0	38.67	0.0	0.0	249.7	0.010766	34.67	0.0	0.0	1172.01	0.166817	37.33	2.13	0.0	284.39	0.691915
submodality	audio.mastermix.wav	25	20.0	0.0	0.0	83.3	0.019138	28.0	0.0	0.0	255.12	0.116542	36.0	0.0	0.0	200.93	0.0	40.0	0.0	0.0	107.58	0.002825	32.0	0.0	0.0	329.87	0.042886	32.0	0.0	0.0	125.77	0.49607
submodality	symbolic.abc.txt	25	60.0	0.0	0.0	88.43	0.02909	60.0	0.0	0.0	163.94	0.004599	52.0	0.0	0.0	827.24	0.0	40.0	0.0	0.0	78.35	0.004284	48.0	0.0	0.0	432.26	0.063513	44.0	0.0	0.0	93.98	0.141233
submodality	visual.short.png	25	40.0	0.0	0.0	85.31	0.026756	44.0	0.0	0.0	282.59	0.004776	40.0	0.0	0.0	322.84	0.0	36.0	0.0	0.0	63.77	0.003657	24.0	0.0	0.0	409.88	0.060418	36.0	6.25	0.0	64.64	0.054613
piece_id	Anonymous_AusMeinesHerzensGrunde	3	66.67	0.0	0.0	7.24	0.001901	100.0	0.0	0.0	17.44	0.005975	100.0	0.0	0.0	12.13	0.0	100.0	0.0	0.0	7.15	0.00033	100.0	0.0	0.0	9.56	0.001	100.0	0.0	0.0	10.87	0.029883
piece_id	Bach_IchStehAnDeinerKrippe	9	22.22	0.0	0.0	27.39	0.008455	22.22	0.0	0.0	79.08	0.014697	22.22	0.0	0.0	119.16	0.0	22.22	0.0	0.0	32.52	0.001406	33.33	0.0	0.0	98.48	0.015403	33.33	0.0	0.0	31.08	0.08065
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	16.67	0.0	0.0	43.09	0.013148	50.0	0.0	0.0	64.02	0.020837	8.33	0.0	0.0	361.24	0.0	33.33	0.0	0.0	46.01	0.001895	16.67	0.0	0.0	203.56	0.028138	33.33	12.5	0.0	47.03	0.1185
piece_id	Drese_JesuGehVoran	12	25.0	0.0	0.0	42.99	0.012037	25.0	0.0	0.0	222.65	0.016935	33.33	0.0	0.0	242.17	0.0	25.0	0.0	0.0	38.23	0.001524	25.0	0.0	0.0	262.21	0.040131	25.0	0.0	0.0	44.25	0.0912
piece_id	Gesius_BefiehlDuDeineWege	6	66.67	0.0	0.0	20.65	0.005576	50.0	0.0	0.0	65.63	0.010207	100.0	0.0	0.0	120.46	0.0	66.67	0.0	0.0	16.18	0.000699	83.33	0.0	0.0	90.8	0.013429	83.33	0.0	0.0	21.25	0.05216
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	33.33	0.0	0.0	19.53	0.004547	16.67	0.0	0.0	23.78	0.007413	16.67	0.0	0.0	83.15	0.0	33.33	0.0	0.0	14.91	0.000653	33.33	0.0	0.0	55.5	0.006838	33.33	0.0	0.0	17.07	0.042583
piece_id	Jan_DuGrosserSchmerzensmann	6	50.0	0.0	0.0	20.94	0.006969	16.67	0.0	0.0	51.45	0.008922	16.67	0.0	0.0	104.24	0.0	50.0	0.0	0.0	16.0	0.000743	50.0	0.0	0.0	79.98	0.011013	16.67	0.0	0.0	28.77	0.05602
piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	55.56	0.0	0.0	64.55	0.019308	61.11	0.0	0.0	142.85	0.038007	61.11	0.0	0.0	261.84	0.0	27.78	0.0	0.0	69.15	0.003112	27.78	0.0	0.0	342.43	0.046912	33.33	0.0	0.0	72.2	0.19745
piece_id	Vulpius_ChristusDerIstMeinLeben	3	66.67	0.0	0.0	10.65	0.003042	100.0	0.0	0.0	34.75	0.002925	100.0	0.0	0.0	46.6	0.0	100.0	0.0	0.0	9.55	0.000404	0.0	0.0	0.0	29.5	0.003953	33.33	0.0	0.0	11.87	0.02347
is_nota_correct	0	60	46.67	0.0	0.0	201.58	0.058921	46.67	0.0	0.0	439.3	0.092782	35.0	0.0	0.0	1030.22	0.0	45.0	0.0	0.0	195.1	0.008404	38.33	0.0	0.0	808.09	0.113685	40.0	2.78	0.0	218.81	0.527465
is_nota_correct	1	15	13.33	0.0	0.0	55.45	0.016063	33.33	0.0	0.0	262.35	0.033136	73.33	0.0	0.0	320.79	0.0	13.33	0.0	0.0	54.61	0.002362	20.0	0.0	0.0	363.92	0.053132	26.67	0.0	0.0	65.58	0.16445
meta-question_id	1	9	22.22	0.0	0.0	29.89	0.007791	22.22	0.0	0.0	40.65	0.012575	11.11	0.0	0.0	187.92	0.0	33.33	0.0	0.0	24.78	0.001153	22.22	0.0	0.0	99.33	0.013671	33.33	0.0	0.0	28.36	0.070875
meta-question_id	10	6	50.0	0.0	0.0	24.21	0.006042	33.33	0.0	0.0	44.65	0.010028	33.33	0.0	0.0	104.72	0.0	66.67	0.0	0.0	18.2	0.000703	33.33	0.0	0.0	74.87	0.010632	33.33	0.0	0.0	26.34	0.055037
meta-question_id	11	3	0.0	0.0	0.0	11.63	0.003025	0.0	0.0	0.0	19.07	0.005328	0.0	0.0	0.0	112.62	0.0	0.0	0.0	0.0	9.77	0.000438	0.0	0.0	0.0	68.6	0.008467	0.0	33.33	0.0	12.31	0.029485
meta-question_id	2	6	50.0	0.0	0.0	19.96	0.006858	50.0	0.0	0.0	44.95	0.012763	33.33	0.0	0.0	49.53	0.0	16.67	0.0	0.0	26.64	0.001196	33.33	0.0	0.0	68.58	0.011104	16.67	0.0	0.0	19.97	0.062685
