Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
OVERALL	ALL	23.213	13.05	0.0	23535.32	0.6872	31.027	0.249	0.019	21375.65	4.0464
submodality	audio.mastermix.wav	23.76	4.571	0.0	7120.05	0.1969	29.08	0.22	0.0	6398.6	1.0346
submodality	symbolic.abc.txt	22.32	21.787	0.0	9031.88	0.2814	31.2	0.354	0.0	7672.22	1.4679
submodality	visual.short.png	23.56	12.619	0.0	7383.41	0.2089	32.8	0.171	0.059	7304.87	1.5439
piece_id	Anonymous_AusMeinesHerzensGrunde	23.48	11.021	0.0	2590.1	0.0767	30.581	0.0	0.0	2330.97	0.4395
piece_id	Bach_IchStehAnDeinerKrippe	24.974	15.159	0.0	2344.86	0.0706	29.436	0.13	0.0	2181.86	0.4183
piece_id	Crueger_AufAufMeinHerzMitFreuden	20.194	12.546	0.0	2754.54	0.0772	28.135	0.149	0.0	2504.82	0.47
piece_id	Drese_JesuGehVoran	26.699	15.125	0.0	1992.02	0.0591	32.747	0.182	0.0	1833.94	0.3447
piece_id	Gesius_BefiehlDuDeineWege	22.247	13.928	0.0	2400.6	0.0689	30.748	0.608	0.0	2213.14	0.4221
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	20.341	13.753	0.0	2367.59	0.0662	28.844	0.0	0.0	1972.39	0.3761
piece_id	Jan_DuGrosserSchmerzensmann	22.194	12.374	0.0	2314.53	0.0703	29.783	0.317	0.0	2214.15	0.4158
piece_id	Telemann_DerLiebenSonneLichtUndPracht	24.404	14.82	0.0	2354.28	0.0666	35.523	0.688	0.0	2125.96	0.3956
piece_id	Vulpius_ChristusDerIstMeinLeben	23.202	10.432	0.0	2194.14	0.066	31.867	0.352	0.0	2038.91	0.3805
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	25.641	11.741	0.0	2222.63	0.0656	33.488	0.0	0.25	1959.51	0.3837
is_nota_correct	0	19.367	12.495	0.0	18661.9	0.5449	34.467	0.278	0.025	17055.14	3.2301
is_nota_correct	1	38.599	16.049	0.0	4873.45	0.1423	17.265	0.161	0.0	4320.52	0.8162
meta-question_id	1	21.867	0.351	0.0	2092.21	0.0694	25.067	0.167	0.0	2035.34	0.416
meta-question_id	10	22.158	34.06	0.0	1643.08	0.0473	34.51	0.323	0.0	1450.42	0.2674
meta-question_id	11	19.375	29.228	0.0	1254.76	0.0384	26.041	0.0	0.0	1315.5	0.2576
meta-question_id	2	22.933	3.335	0.0	2083.85	0.0596	23.2	0.505	0.0	2061.7	0.3838
meta-question_id	3	14.0	29.975	0.0	2338.66	0.0663	31.067	0.364	0.0	2158.67	0.4531
meta-question_id	4	26.668	7.07	0.0	2267.48	0.0613	40.267	0.471	0.0	2234.31	0.3959
meta-question_id	5	22.134	24.073	0.0	2116.6	0.0646	39.601	0.436	0.0	2208.84	0.3964
meta-question_id	6	40.665	6.539	0.0	2171.94	0.0685	38.933	0.0	0.0	2219.71	0.4179
meta-question_id	7	25.733	12.055	0.0	2601.77	0.0892	36.932	0.396	0.213	2135.19	0.4322
meta-question_id	8	13.601	0.149	0.0	2948.18	0.0749	13.468	0.0	0.0	2183.39	0.3921
meta-question_id	9	25.098	3.378	0.0	2016.78	0.0478	31.763	0.0	0.0	1372.53	0.2339
category	harmony	22.267	22.233	0.0	4914.62	0.1335	30.867	0.098	0.0	4138.48	0.7589
category	pitch	21.366	10.764	0.0	8782.22	0.2565	29.899	0.378	0.0	8490.03	1.6489
category	rhythm	25.534	10.659	0.0	9838.49	0.2972	32.235	0.19	0.048	8747.18	1.6386
subcategory	harmonic-recognition	22.267	22.233	0.0	4914.62	0.1335	30.867	0.098	0.0	4138.48	0.7589
subcategory	interval-recognition	20.334	19.47	0.0	4606.14	0.1276	35.668	0.42	0.0	4393.0	0.849
subcategory	pitch-recognition	22.4	1.811	0.0	4176.06	0.129	24.133	0.337	0.0	4097.03	0.7999
subcategory	proportion-recognition	19.666	5.62	0.0	5549.95	0.1641	25.2	0.173	0.088	4318.59	0.8243
subcategory	rhythmic-recognition	31.4	16.495	0.0	4288.56	0.1331	39.266	0.225	0.0	4428.57	0.8143
skill	cadence recognition	19.375	29.228	0.0	1254.76	0.0384	26.041	0.0	0.0	1315.5	0.2576
skill	chord recognition	22.158	34.06	0.0	1643.08	0.0473	34.51	0.323	0.0	1450.42	0.2674
skill	interval recognition	14.0	29.975	0.0	2338.66	0.0663	31.067	0.364	0.0	2158.67	0.4531
skill	interval statistics	26.668	7.07	0.0	2267.48	0.0613	40.267	0.471	0.0	2234.31	0.3959
skill	note length	22.134	24.073	0.0	2116.6	0.0646	39.601	0.436	0.0	2208.84	0.3964
skill	note length statistics	40.665	6.539	0.0	2171.94	0.0685	38.933	0.0	0.0	2219.71	0.4179
skill	pitch recognition	21.867	0.351	0.0	2092.21	0.0694	25.067	0.167	0.0	2035.34	0.416
skill	pitch statistics	22.933	3.335	0.0	2083.85	0.0596	23.2	0.505	0.0	2061.7	0.3838
skill	rhythm pattern	25.733	12.055	0.0	2601.77	0.0892	36.932	0.396	0.213	2135.19	0.4322
skill	rhythm pattern statistics	13.601	0.149	0.0	2948.18	0.0749	13.468	0.0	0.0	2183.39	0.3921
skill	tonality recognition	25.098	3.378	0.0	2016.78	0.0478	31.763	0.0	0.0	1372.53	0.2339
rel/abs	absolute	26.212	12.551	0.0	10107.7	0.3094	32.107	0.287	0.0	9976.02	1.8816
rel/abs	relative	20.577	13.447	0.0	13427.62	0.3778	30.074	0.212	0.035	11399.65	2.1648
specification	harmony-absolute	22.158	34.06	0.0	1643.08	0.0473	34.51	0.323	0.0	1450.42	0.2674
specification	harmony-relative	22.321	16.343	0.0	3271.54	0.0862	28.987	0.0	0.0	2688.03	0.4915
