Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	300	36.0	0.0	0.0	752.2	0.162167	28.33	0.0	0.0	3960.32	0.0	25.67	14.35	0.0	868.63	0.027577
submodality	audio.mastermix.wav	100	39.0	0.0	0.0	218.28	0.041005	31.0	0.0	0.0	524.29	0.0	27.0	5.48	0.0	282.28	0.008462
submodality	symbolic.abc.txt	100	28.0	0.0	0.0	275.76	0.061402	28.0	0.0	0.0	2215.5	0.0	25.0	24.0	0.0	297.1	0.010459
submodality	visual.short.png	100	41.0	0.0	0.0	258.16	0.059759	26.0	0.0	0.0	1220.53	0.0	25.0	13.33	0.0	289.25	0.008655
piece_id	Anonymous_AusMeinesHerzensGrunde	45	26.67	0.0	0.0	117.07	0.026841	24.44	0.0	0.0	467.05	0.0	22.22	17.14	0.0	142.01	0.004734
piece_id	Bach_IchStehAnDeinerKrippe	27	33.33	0.0	0.0	65.99	0.014782	22.22	0.0	0.0	606.97	0.0	22.22	23.81	0.0	75.62	0.002435
piece_id	Crueger_AufAufMeinHerzMitFreuden	36	52.78	0.0	0.0	88.01	0.019297	52.78	0.0	0.0	497.01	0.0	41.67	33.33	0.0	93.91	0.003235
piece_id	Drese_JesuGehVoran	30	26.67	0.0	0.0	73.4	0.01543	23.33	0.0	0.0	374.54	0.0	26.67	4.55	0.0	98.73	0.002878
piece_id	Gesius_BefiehlDuDeineWege	39	43.59	0.0	0.0	96.24	0.02086	25.64	0.0	0.0	517.44	0.0	20.51	9.68	0.0	116.05	0.003654
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	39	41.03	0.0	0.0	98.13	0.020863	25.64	0.0	0.0	420.2	0.0	33.33	15.38	0.0	130.74	0.003865
piece_id	Jan_DuGrosserSchmerzensmann	15	40.0	0.0	0.0	37.29	0.007698	13.33	0.0	0.0	231.58	0.0	20.0	8.33	0.0	41.15	0.001279
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	50.0	0.0	0.0	32.55	0.00769	41.67	0.0	0.0	117.44	0.0	16.67	10.0	0.0	33.77	0.000816
piece_id	Vulpius_ChristusDerIstMeinLeben	27	11.11	0.0	0.0	64.13	0.013924	14.81	0.0	0.0	384.77	0.0	18.52	9.09	0.0	70.24	0.002316
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30	40.0	0.0	0.0	79.4	0.014782	36.67	0.0	0.0	343.33	0.0	23.33	8.7	0.0	66.4	0.002365
is_nota_correct	0	240	39.17	0.0	0.0	602.22	0.130746	25.42	0.0	0.0	3145.31	0.0	22.92	15.14	0.0	676.51	0.021846
is_nota_correct	1	60	23.33	0.0	0.0	149.97	0.031421	40.0	0.0	0.0	815.01	0.0	36.67	10.53	0.0	192.13	0.005731
meta-question_id	1	30	20.0	0.0	0.0	71.42	0.01707	13.33	0.0	0.0	231.65	0.0	20.0	0.0	0.0	74.52	0.002753
meta-question_id	10	21	33.33	0.0	0.0	53.89	0.012064	33.33	0.0	0.0	379.95	0.0	23.81	50.0	0.0	56.32	0.002104
meta-question_id	11	18	5.56	0.0	0.0	44.96	0.00971	27.78	0.0	0.0	301.35	0.0	11.11	31.25	0.0	46.79	0.001454
meta-question_id	2	30	20.0	0.0	0.0	74.27	0.015272	13.33	0.0	0.0	194.83	0.0	30.0	14.29	0.0	57.84	0.001998
meta-question_id	3	30	30.0	0.0	0.0	77.16	0.018231	26.67	0.0	0.0	297.19	0.0	20.0	20.83	0.0	86.41	0.002703
meta-question_id	4	30	60.0	0.0	0.0	80.28	0.014235	36.67	0.0	0.0	340.0	0.0	26.67	4.55	0.0	76.74	0.00204
meta-question_id	5	30	33.33	0.0	0.0	75.44	0.016865	23.33	0.0	0.0	486.57	0.0	30.0	33.33	0.0	110.61	0.002873
meta-question_id	6	30	83.33	0.0	0.0	75.75	0.015839	66.67	0.0	0.0	492.61	0.0	43.33	5.88	0.0	105.7	0.00267
meta-question_id	7	30	46.67	0.0	0.0	73.93	0.017124	20.0	0.0	0.0	467.24	0.0	33.33	10.0	0.0	115.22	0.00398
meta-question_id	8	30	13.33	0.0	0.0	78.9	0.015698	10.0	0.0	0.0	538.66	0.0	6.67	0.0	0.0	81.69	0.002825
meta-question_id	9	21	38.1	0.0	0.0	46.18	0.01006	47.62	0.0	0.0	230.27	0.0	33.33	0.0	0.0	56.8	0.002177
category	harmony	60	26.67	0.0	0.0	145.03	0.031834	36.67	0.0	0.0	911.57	0.0	23.33	28.26	0.0	159.91	0.005735
category	pitch	120	32.5	0.0	0.0	303.13	0.064807	22.5	0.0	0.0	1063.67	0.0	24.17	9.89	0.0	295.51	0.009494
category	rhythm	120	44.17	0.0	0.0	304.03	0.065526	30.0	0.0	0.0	1985.08	0.0	28.33	11.63	0.0	413.22	0.012348
subcategory	harmonic-recognition	60	26.67	0.0	0.0	145.03	0.031834	36.67	0.0	0.0	911.57	0.0	23.33	28.26	0.0	159.91	0.005735
subcategory	interval-recognition	60	45.0	0.0	0.0	157.44	0.032466	31.67	0.0	0.0	637.19	0.0	23.33	13.04	0.0	163.15	0.004743
subcategory	pitch-recognition	60	20.0	0.0	0.0	145.69	0.032342	13.33	0.0	0.0	426.48	0.0	25.0	6.67	0.0	132.35	0.004751
subcategory	proportion-recognition	60	30.0	0.0	0.0	152.84	0.032822	15.0	0.0	0.0	1005.9	0.0	20.0	4.17	0.0	196.9	0.006805
subcategory	rhythmic-recognition	60	58.33	0.0	0.0	151.19	0.032704	45.0	0.0	0.0	979.18	0.0	36.67	21.05	0.0	216.31	0.005543
skill	cadence recognition	18	5.56	0.0	0.0	44.96	0.00971	27.78	0.0	0.0	301.35	0.0	11.11	31.25	0.0	46.79	0.001454
skill	chord recognition	21	33.33	0.0	0.0	53.89	0.012064	33.33	0.0	0.0	379.95	0.0	23.81	50.0	0.0	56.32	0.002104
skill	interval recognition	30	30.0	0.0	0.0	77.16	0.018231	26.67	0.0	0.0	297.19	0.0	20.0	20.83	0.0	86.41	0.002703
skill	interval statistics	30	60.0	0.0	0.0	80.28	0.014235	36.67	0.0	0.0	340.0	0.0	26.67	4.55	0.0	76.74	0.00204
skill	note length	30	33.33	0.0	0.0	75.44	0.016865	23.33	0.0	0.0	486.57	0.0	30.0	33.33	0.0	110.61	0.002873
skill	note length statistics	30	83.33	0.0	0.0	75.75	0.015839	66.67	0.0	0.0	492.61	0.0	43.33	5.88	0.0	105.7	0.00267
skill	pitch recognition	30	20.0	0.0	0.0	71.42	0.01707	13.33	0.0	0.0	231.65	0.0	20.0	0.0	0.0	74.52	0.002753
skill	pitch statistics	30	20.0	0.0	0.0	74.27	0.015272	13.33	0.0	0.0	194.83	0.0	30.0	14.29	0.0	57.84	0.001998
skill	rhythm pattern	30	46.67	0.0	0.0	73.93	0.017124	20.0	0.0	0.0	467.24	0.0	33.33	10.0	0.0	115.22	0.00398
skill	rhythm pattern statistics	30	13.33	0.0	0.0	78.9	0.015698	10.0	0.0	0.0	538.66	0.0	6.67	0.0	0.0	81.69	0.002825
skill	tonality recognition	21	38.1	0.0	0.0	46.18	0.01006	47.62	0.0	0.0	230.27	0.0	33.33	0.0	0.0	56.8	0.002177
rel/abs	absolute	141	38.3	0.0	0.0	350.77	0.077109	29.79	0.0	0.0	1785.61	0.0	29.79	19.19	0.0	404.99	0.012399
rel/abs	relative	159	33.96	0.0	0.0	401.42	0.085057	27.04	0.0	0.0	2174.71	0.0	22.01	10.48	0.0	463.65	0.015179
specification	harmony-absolute	21	33.33	0.0	0.0	53.89	0.012064	33.33	0.0	0.0	379.95	0.0	23.81	50.0	0.0	56.32	0.002104
specification	harmony-relative	39	23.08	0.0	0.0	91.14	0.01977	38.46	0.0	0.0	531.62	0.0	23.08	16.67	0.0	103.59	0.003631
specification	pitch-absolute	60	20.0	0.0	0.0	145.69	0.032342	13.33	0.0	0.0	426.48	0.0	25.0	6.67	0.0	132.35	0.004751
specification	pitch-relative	60	45.0	0.0	0.0	157.44	0.032466	31.67	0.0	0.0	637.19	0.0	23.33	13.04	0.0	163.15	0.004743
specification	rhythm-absolute	60	58.33	0.0	0.0	151.19	0.032704	45.0	0.0	0.0	979.18	0.0	36.67	21.05	0.0	216.31	0.005543
specification	rhythm-relative	60	30.0	0.0	0.0	152.84	0.032822	15.0	0.0	0.0	1005.9	0.0	20.0	4.17	0.0	196.9	0.006805
