Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	36.0	28.33	25.67
submodality	audio.mastermix.wav	100	39.0	31.0	27.0
submodality	symbolic.abc.txt	100	28.0	28.0	25.0
submodality	visual.short.png	100	41.0	26.0	25.0
piece_id	Anonymous_AusMeinesHerzensGrunde	45	26.67	24.44	22.22
piece_id	Bach_IchStehAnDeinerKrippe	27	33.33	22.22	22.22
piece_id	Crueger_AufAufMeinHerzMitFreuden	36	52.78	52.78	41.67
piece_id	Drese_JesuGehVoran	30	26.67	23.33	26.67
piece_id	Gesius_BefiehlDuDeineWege	39	43.59	25.64	20.51
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	39	41.03	25.64	33.33
piece_id	Jan_DuGrosserSchmerzensmann	15	40.0	13.33	20.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	50.0	41.67	16.67
piece_id	Vulpius_ChristusDerIstMeinLeben	27	11.11	14.81	18.52
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30	40.0	36.67	23.33
is_nota_correct	0	240	39.17	25.42	22.92
is_nota_correct	1	60	23.33	40.0	36.67
meta-question_id	1	30	20.0	13.33	20.0
meta-question_id	10	21	33.33	33.33	23.81
meta-question_id	11	18	5.56	27.78	11.11
meta-question_id	2	30	20.0	13.33	30.0
meta-question_id	3	30	30.0	26.67	20.0
meta-question_id	4	30	60.0	36.67	26.67
meta-question_id	5	30	33.33	23.33	30.0
meta-question_id	6	30	83.33	66.67	43.33
meta-question_id	7	30	46.67	20.0	33.33
meta-question_id	8	30	13.33	10.0	6.67
meta-question_id	9	21	38.1	47.62	33.33
category	harmony	60	26.67	36.67	23.33
category	pitch	120	32.5	22.5	24.17
category	rhythm	120	44.17	30.0	28.33
subcategory	harmonic-recognition	60	26.67	36.67	23.33
subcategory	interval-recognition	60	45.0	31.67	23.33
subcategory	pitch-recognition	60	20.0	13.33	25.0
subcategory	proportion-recognition	60	30.0	15.0	20.0
subcategory	rhythmic-recognition	60	58.33	45.0	36.67
skill	cadence recognition	18	5.56	27.78	11.11
skill	chord recognition	21	33.33	33.33	23.81
skill	interval recognition	30	30.0	26.67	20.0
skill	interval statistics	30	60.0	36.67	26.67
skill	note length	30	33.33	23.33	30.0
skill	note length statistics	30	83.33	66.67	43.33
skill	pitch recognition	30	20.0	13.33	20.0
skill	pitch statistics	30	20.0	13.33	30.0
skill	rhythm pattern	30	46.67	20.0	33.33
skill	rhythm pattern statistics	30	13.33	10.0	6.67
skill	tonality recognition	21	38.1	47.62	33.33
rel/abs	absolute	141	38.3	29.79	29.79
rel/abs	relative	159	33.96	27.04	22.01
specification	harmony-absolute	21	33.33	33.33	23.81
specification	harmony-relative	39	23.08	38.46	23.08
specification	pitch-absolute	60	20.0	13.33	25.0
specification	pitch-relative	60	45.0	31.67	23.33
specification	rhythm-absolute	60	58.33	45.0	36.67
specification	rhythm-relative	60	30.0	15.0	20.0
