Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001	aggregate-mistral
OVERALL	ALL	1500	41.93	35.13	32.93
submodality	audio.mastermix.wav	500	31.0	27.4	30.0
submodality	symbolic.abc.txt	500	56.8	43.4	41.2
submodality	visual.short.png	500	38.0	34.6	27.6
piece_id	Anonymous_AusMeinesHerzensGrunde	189	41.27	34.92	34.39
piece_id	Bach_IchStehAnDeinerKrippe	168	44.64	37.5	38.1
piece_id	Crueger_AufAufMeinHerzMitFreuden	165	38.18	29.7	31.52
piece_id	Drese_JesuGehVoran	150	40.67	34.0	32.0
piece_id	Gesius_BefiehlDuDeineWege	162	39.51	40.74	31.48
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	126	42.06	40.48	34.92
piece_id	Jan_DuGrosserSchmerzensmann	144	45.83	34.03	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	153	48.37	38.56	32.68
piece_id	Vulpius_ChristusDerIstMeinLeben	135	42.96	26.67	28.89
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	108	34.26	34.26	30.56
is_nota_correct	0	1200	41.08	37.42	30.92
is_nota_correct	1	300	45.33	26.0	41.0
meta-question_id	1	150	32.0	31.33	26.0
meta-question_id	10	120	48.33	40.83	32.5
meta-question_id	11	120	27.5	33.33	29.17
meta-question_id	2	150	52.0	37.33	28.0
meta-question_id	3	150	34.67	28.0	19.33
meta-question_id	4	150	43.33	38.0	28.67
meta-question_id	5	150	52.0	36.67	50.0
meta-question_id	6	150	53.33	51.33	44.67
meta-question_id	7	150	42.67	35.33	44.67
meta-question_id	8	150	21.33	17.33	17.33
meta-question_id	9	60	68.33	41.67	53.33
category	harmony	300	44.0	38.0	35.33
category	pitch	600	40.5	33.67	25.5
category	rhythm	600	42.33	35.17	39.17
subcategory	harmonic-recognition	300	44.0	38.0	35.33
subcategory	interval-recognition	300	39.0	33.0	24.0
subcategory	pitch-recognition	300	42.0	34.33	27.0
subcategory	proportion-recognition	300	32.0	26.33	31.0
subcategory	rhythmic-recognition	300	52.67	44.0	47.33
skill	cadence recognition	120	27.5	33.33	29.17
skill	chord recognition	120	48.33	40.83	32.5
skill	interval recognition	150	34.67	28.0	19.33
skill	interval statistics	150	43.33	38.0	28.67
skill	note length	150	52.0	36.67	50.0
skill	note length statistics	150	53.33	51.33	44.67
skill	pitch recognition	150	32.0	31.33	26.0
skill	pitch statistics	150	52.0	37.33	28.0
skill	rhythm pattern	150	42.67	35.33	44.67
skill	rhythm pattern statistics	150	21.33	17.33	17.33
skill	tonality recognition	60	68.33	41.67	53.33
rel/abs	absolute	720	47.5	39.44	36.39
rel/abs	relative	780	36.79	31.15	29.74
specification	harmony-absolute	120	48.33	40.83	32.5
specification	harmony-relative	180	41.11	36.11	37.22
specification	pitch-absolute	300	42.0	34.33	27.0
specification	pitch-relative	300	39.0	33.0	24.0
specification	rhythm-absolute	300	52.67	44.0	47.33
specification	rhythm-relative	300	32.0	26.33	31.0
